"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var"
1,1,20,-0.13,-0.311022620133748,0.633086919176129,0.45,0,0,0.48645,20,0,FALSE
1,2,7,0.428571428571429,0.190957982529804,0.809603584044679,0.142857142857143,0.04,0,0.43265306122449,20,0,FALSE
1,3,1,-0.8,-0.330818021445562,0.493051522254634,1,0.16,0.32,0.26,20,0,FALSE
2,1,20,-0.15,0.0384273923392519,0.743614206122508,0.45,0,0,0.48775,20,0,FALSE
2,2,9,-0.622222222222222,-0.517426622198976,0.494873144014861,0.333333333333333,0,0,0.44320987654321,20,0,FALSE
2,3,2,0.3,0.380628794215602,0.949212803762322,0.5,0.08,0.12,0.335,20,0,FALSE
2,4,2,0.2,-0.121384394696235,0.647979718849669,1,0.16,0.16,0.29,20,0,FALSE
3,1,20,0.16,-0.0994836391536113,0.681919163596895,0.3,0,0,0.4867,20,0,FALSE
3,2,8,0.425,0.281185946263813,0.873785955827778,0.5,0,0,0.4321875,20,0,FALSE
3,3,4,0.3,0.145748986010563,0.744134592949952,0.5,0.08,0.08,0.3325,20,0,FALSE
3,4,5,0.6,1.06769770274307,1.29547459668997,0.4,0.12,0.08,0.3312,20,0,FALSE
3,5,7,0.771428571428571,0.651498698505245,1.03888213677585,0.571428571428571,0.2,0.08,0.307755102040816,20,0,FALSE
3,6,4,0.4,-0.0830267055884513,0.740645507691116,0.5,0.28,0.08,0.2425,20,0,FALSE
3,7,2,0.7,0.571382641255119,0.990737062947174,0.5,0.32,0.24,0.205,20,0,FALSE
3,8,3,0.933333333333333,0.0156752680823855,0.725502521721948,1,0.4,0.24,0.171111111111111,20,0,FALSE
4,1,20,0.06,-0.0199802036321072,0.689325477122355,0.45,0,0,0.4842,20,0,FALSE
4,2,13,0.0461538461538462,0.0969553361092394,0.772310179392769,0.461538461538462,0,0,0.445443786982249,20,0,FALSE
4,3,10,-5.56737815571307e-18,-0.14703144001326,0.674974302913911,0.6,0,0,0.4084,20,0,FALSE
4,4,8,0.175,-0.0762089330077184,0.672197207438417,0.375,0.08,0,0.3590625,20,0,FALSE
4,5,4,0.1,0.0358598293613887,0.767327373711882,0.5,0.2,0.12,0.2675,20,0,FALSE
4,6,1,1,0.685057138972648,1.05564247804481,1,0.52,0.32,0.08,20,0,FALSE
5,1,20,0.11,-0.000580257091270434,0.728606097723311,0.7,0,0,0.49115,20,0,FALSE
5,2,22,0.309090909090909,0.562320133026727,1.02915090007828,0.318181818181818,0,0,0.474876033057851,20,0,FALSE
5,3,14,0.285714285714286,0.36285557036952,0.866535550693707,0.428571428571429,0,0,0.462040816326531,20,0,FALSE
5,4,17,0.141176470588235,0.153170865143467,0.832056795023195,0.588235294117647,0,0,0.448235294117647,20,0,FALSE
5,5,15,0.36,0.223242957380784,0.849068563907909,0.466666666666667,0,0.04,0.379022222222222,20,0,FALSE
5,6,15,0.253333333333333,0.114355703286756,0.794904057672893,0.533333333333333,0,0.04,0.3728,20,0,FALSE
5,7,10,-0.26,-0.0298476864150971,0.728827312079461,0.4,0,0.08,0.3154,20,0,FALSE
5,8,9,-0.377777777777778,0.0984914305762683,0.750956570192604,0.444444444444444,0.08,0.16,0.285432098765432,20,0,FALSE
5,9,8,-0.275,-0.192329759692377,0.605722426919187,0.5,0.12,0.24,0.2496875,20,0,FALSE
5,10,5,-0.6,-0.753581729469028,0.381201647548174,1,0.16,0.28,0.2192,20,0,FALSE
6,1,20,-0.03,0.0760650874817077,0.764259092988997,0.45,0,0,0.48315,20,0,FALSE
6,2,15,-0.12,-0.454016583095641,0.500197462706325,0.466666666666667,0,0,0.461155555555556,20,0,FALSE
6,3,9,-0.155555555555556,0.309497315483607,0.912776647658325,0.666666666666667,0,0,0.432098765432099,20,0,FALSE
6,4,5,-0.04,0.214869557397081,0.808495396572299,0.6,0,0,0.3888,20,0,FALSE
6,5,7,-0.0285714285714286,-0.579989801333283,0.407144620796499,0.428571428571429,0,0.12,0.316734693877551,20,0,FALSE
6,6,3,0.266666666666667,0.3416105606383,0.861247325427393,0.333333333333333,0.2,0.2,0.242222222222222,20,0,FALSE
6,7,6,-0.0666666666666667,-0.315132359801251,0.615028504533423,0.333333333333333,0.2,0.24,0.213333333333333,20,0,FALSE
6,8,3,-0.4,0.0305462659260707,0.692269978887359,0.333333333333333,0.24,0.28,0.197777777777778,20,0,FALSE
6,9,1,-0.2,-0.13422626903633,0.584611562679872,0,0.4,0.44,0.08,20,0,FALSE
7,1,20,-0.1,-0.505274006973903,0.534895638211454,0.4,0,0,0.4886,20,0,FALSE
7,2,13,0.307692307692308,-0.27031156000855,0.602068656000976,0.692307692307692,0,0,0.452426035502959,20,0,FALSE
7,3,13,0.215384615384615,0.243368537242471,0.806196395824433,0.538461538461538,0,0,0.398698224852071,20,0,FALSE
7,4,14,0.214285714285714,0.21984171943859,0.843155859193782,0.571428571428571,0,0.04,0.35234693877551,20,0,FALSE
7,5,14,0.0571428571428571,0.347217640970659,0.882415874983874,0.357142857142857,0.04,0.04,0.341020408163265,20,0,FALSE
7,6,11,0.363636363636364,0.352673184014221,0.902982598752175,0.363636363636364,0.08,0.04,0.317851239669421,20,0,FALSE
7,7,2,0.5,0.999644700749841,1.2575449656236,1,0.36,0.2,0.185,20,0,FALSE
8,1,20,-0.04,0.129915131265371,0.791896507861933,0.35,0,0,0.4898,20,0,FALSE
8,2,15,0.306666666666667,0.195508816889196,0.814083984193922,0.4,0,0,0.440177777777778,20,0,FALSE
8,3,5,0.48,0.259037218385328,0.861171362389731,0.4,0,0,0.412,20,0,FALSE
8,4,2,0.2,0.798933791054315,1.13403751871279,0,0.16,0.24,0.27,20,0,FALSE
