"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var"
1,1,20,-0.01,0.0107525856638195,0.703041331548608,0.4,0.24,0.24,0.25385,20,0,TRUE
1,2,12,0.0666666666666667,0.199393170725941,0.788329896824806,0.416666666666667,0.24,0.24,0.227777777777778,20,0,TRUE
1,3,5,-0.24,-0.0678320468147439,0.656972519435323,0.6,0.28,0.24,0.1816,20,0,TRUE
1,4,4,0.05,-0.563271416355718,0.439144294570167,0.25,0.36,0.24,0.13625,20,0,TRUE
1,5,1,0.4,1.76624274264136,1.71683471564555,1,0.44,0.36,0.1,20,0,TRUE
2,1,20,0.05,0.1145859990919,0.804856975918478,0.8,0.24,0.24,0.25305,20,0,TRUE
2,2,25,0.216,0.287736538942992,0.871697938300086,0.6,0.24,0.24,0.247744,20,0,TRUE
2,3,37,0.281081081081081,0.394754516359473,0.914228310839872,0.594594594594595,0.24,0.24,0.24699780861943,20,0,TRUE
2,4,31,0.303225806451613,0.315425020115282,0.891486590497435,0.451612903225806,0.24,0.24,0.240249739854318,20,0,TRUE
2,5,26,0.607692307692308,0.670866566866426,1.07410469775545,0.423076923076923,0.24,0.24,0.218550295857988,20,0,TRUE
2,6,26,0.530769230769231,0.634567627406377,1.05957493609424,0.461538461538462,0.24,0.24,0.217426035502959,20,0,TRUE
2,7,14,0.671428571428571,0.763444245521882,1.10186515441315,0.357142857142857,0.24,0.24,0.204183673469388,20,0,TRUE
2,8,11,0.654545454545455,0.720231211701794,1.10178724866598,0.454545454545455,0.24,0.24,0.201157024793388,20,0,TRUE
2,9,18,1.06666666666667,0.968199389129766,1.23665642707244,0.5,0.28,0.24,0.169259259259259,20,0,TRUE
2,10,28,1.1,1.18391411524017,1.32609027723335,0.464285714285714,0.28,0.24,0.171224489795918,20,0,TRUE
2,11,40,1.045,1.02773241940685,1.24847486177298,0.425,0.28,0.24,0.1559875,20,0,TRUE
2,12,44,0.836363636363636,0.782376911783904,1.0756438373773,0.522727272727273,0.28,0.24,0.154359504132231,20,0,TRUE
2,13,55,0.807272727272727,0.763551366144556,1.11570683791315,0.436363636363636,0.28,0.24,0.152852892561983,20,0,TRUE
2,14,63,0.73968253968254,0.801231558966916,1.12581200502784,0.53968253968254,0.28,0.24,0.136235827664399,20,0,TRUE
2,15,76,0.721052631578947,0.697301180721171,1.0750871989764,0.486842105263158,0.28,0.24,0.135124653739612,20,0,TRUE
2,16,86,0.825581395348837,0.788256346556797,1.14158152778267,0.523255813953488,0.28,0.24,0.140170362358031,20,0,TRUE
2,17,88,0.831818181818182,0.837515879509695,1.15678654093531,0.568181818181818,0.28,0.24,0.133863636363636,20,0,TRUE
2,18,105,0.940952380952381,0.78544935801156,1.12796703135735,0.485714285714286,0.28,0.24,0.137347845804989,20,0,TRUE
2,19,118,0.991525423728814,0.935800781469744,1.19798590216837,0.542372881355932,0.32,0.24,0.137918701522551,20,0,TRUE
2,20,155,1.01548387096774,1.06695847017043,1.28298565977161,0.593548387096774,0.32,0.24,0.139692819979188,20,0,TRUE
2,21,262,1.05038167938931,0.986668812616116,1.23769708412473,0.458015267175573,0.32,0.24,0.13436804382029,20,0,TRUE
2,22,334,1.11976047904192,1.1334370677061,1.30836346538481,0.491017964071856,0.32,0.24,0.134390978521998,20,0,TRUE
2,23,410,1.11317073170732,1.05064231698008,1.27068383818954,0.521951219512195,0.36,0.24,0.13212754312909,20,0,TRUE
2,24,563,1.17264653641208,1.18198570245598,1.34637831244438,0.523978685612789,0.36,0.24,0.129165691282113,20,0,TRUE
2,25,741,1.16815114709852,1.22562723069705,1.36052151050037,0.506072874493927,0.36,0.24,0.128707677009403,20,0,TRUE
2,26,1019,1.21118743866536,1.25685006462909,1.38261757906238,0.505397448478901,0.36,0.24,0.126798598945839,20,0,TRUE
2,27,1414,1.25021216407355,1.22031341716721,1.36407355588172,0.509193776520509,0.36,0.24,0.126757150659499,20,0,TRUE
2,28,1964,1.26415478615071,1.27668345624086,1.39490895447125,0.504073319755601,0.36,0.24,0.126737268801772,20,0,TRUE
2,29,2772,1.27113997113997,1.25996033228574,1.38233503810434,0.497835497835498,0.36,0.24,0.12757461754215,20,0,TRUE
2,30,3852,1.28660436137072,1.30028342947758,1.40323734949973,0.4865005192108,0.36,0.24,0.127002770741744,20,0,TRUE
2,31,5237,1.30238686270766,1.30724392468351,1.40570928912925,0.491884666793966,0.36,0.24,0.127956081653256,20,0,TRUE
2,32,6934,1.32993942890107,1.32718581927992,1.41532746192555,0.507066628208826,0.36,0.24,0.127044909151671,20,0,TRUE
2,33,9978,1.35337743034676,1.33554080386534,1.41994958795543,0.495289637201844,0.36,0.24,0.12631578448333,20,0,TRUE
3,1,20,-0.09,-0.137015051909319,0.650794785628897,0.45,0.24,0.24,0.25205,20,0,TRUE
3,2,9,-0.288888888888889,-0.320688169996625,0.535755027499401,0.666666666666667,0.24,0.24,0.223703703703704,20,0,TRUE
3,3,13,-0.338461538461538,-0.500759767150995,0.482811076180253,0.230769230769231,0.24,0.24,0.207455621301775,20,0,TRUE
4,1,20,-0.18,-0.271510248624828,0.587214977565273,0.6,0.24,0.24,0.2547,20,0,TRUE
4,2,6,-0.366666666666667,-0.528013426756918,0.478633545308889,0.833333333333333,0.24,0.24,0.232777777777778,20,0,TRUE
4,3,3,-0.733333333333333,-0.460668251853314,0.497953543806017,0.666666666666667,0.24,0.28,0.195555555555556,20,0,TRUE
