"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
1,1,20,0.06,0.136866284948402,0.781499772687285,0.7,0,0,0.4899,20,0.0035,FALSE,5,TRUE
1,2,19,0.147368421052632,0.322992332948189,0.881669661462592,0.631578947368421,0,0,0.471745152354571,20,0.0035,FALSE,5,TRUE
1,3,18,0.233333333333333,0.258835230031214,0.848643170993679,0.611111111111111,0,0,0.464259259259259,20,0.0035,FALSE,5,TRUE
1,4,13,0.430769230769231,0.885204037315525,1.19768226883307,0.307692307692308,0,0,0.442485207100592,20,0.0035,FALSE,5,TRUE
1,5,7,0.342857142857143,0.648583057221866,1.04215184456433,0.142857142857143,0.04,0,0.388979591836735,20,0.0035,FALSE,5,TRUE
2,1,20,-0.05,-0.043462041261002,0.759273949650511,0.55,0,0,0.48885,20,0.0035,FALSE,6,TRUE
2,2,11,0.0545454545454545,-0.0447182780537576,0.714847677738645,0.818181818181818,0,0,0.452231404958678,20,0.0035,FALSE,6,TRUE
2,3,14,0.0142857142857143,-0.0644143629263449,0.662281748749909,0.357142857142857,0,0.04,0.382959183673469,20,0.0035,FALSE,6,TRUE
2,4,10,-0.02,0.0952085758339351,0.735991784093637,0.5,0,0.08,0.371,20,0.0035,FALSE,6,TRUE
2,5,8,0.1,-0.417315506844734,0.518099607059391,0.25,0.12,0.12,0.295625,20,0.0035,FALSE,6,TRUE
2,6,1,-0.4,-0.902529292510583,0.282171046917338,1,0.2,0.28,0.26,20,0.0035,FALSE,6,TRUE
3,1,20,0.02,-0.20843509761626,0.637503968578633,0.6,0,0,0.4872,20,0.0035,FALSE,5,TRUE
3,2,16,0.2875,0.584422216031569,1.02391493595961,0.4375,0,0,0.439765625,20,0.0035,FALSE,5,TRUE
3,3,19,0.357894736842105,0.320497782019552,0.859687612500964,0.578947368421053,0,0,0.44005540166205,20,0.0035,FALSE,5,TRUE
3,4,9,0.266666666666667,-0.326368238072711,0.521822425490928,0.555555555555556,0,0,0.42641975308642,20,0.0035,FALSE,5,TRUE
3,5,7,0.228571428571429,0.117660534201183,0.769443252981858,0.142857142857143,0,0,0.369387755102041,20,0.0035,FALSE,5,TRUE
4,1,20,0.08,0.217439467070446,0.852874741093207,0.5,0,0,0.4818,20,0.0035,FALSE,16,FALSE
4,2,15,0.333333333333333,0.270846130306211,0.869028480648493,0.333333333333333,0,0,0.459022222222222,20,0.0035,FALSE,16,FALSE
4,3,10,0.76,0.867192988618336,1.13530665208605,0.5,0.04,0,0.434,20,0.0035,FALSE,16,FALSE
4,4,17,0.670588235294118,0.760834310070046,1.10721368866261,0.588235294117647,0.04,0,0.398892733564014,20,0.0035,FALSE,16,FALSE
4,5,12,1.18333333333333,1.22101457877885,1.36813457751408,0.5,0.04,0,0.35625,20,0.0035,FALSE,16,FALSE
4,6,11,1.32727272727273,1.31707787018851,1.43237320066482,0.545454545454545,0.12,0.04,0.301157024793388,20,0.0035,FALSE,16,FALSE
4,7,16,1.65,1.78891595289643,1.58495530557084,0.75,0.12,0.04,0.2840625,20,0.0035,FALSE,16,FALSE
4,8,38,1.66315789473684,1.66790623202331,1.52538552223307,0.447368421052632,0.12,0.04,0.267617728531856,20,0.0035,FALSE,16,FALSE
4,9,47,1.59574468085106,1.47516489151766,1.48081007730121,0.595744680851064,0.12,0.04,0.265332729741965,20,0.0035,FALSE,16,FALSE
4,10,74,1.46216216216216,1.48392545293228,1.48640667916423,0.527027027027027,0.12,0.04,0.276855368882396,20,0.0035,FALSE,16,FALSE
