"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
8,4,7,-0.285714285714286,-0.293076390708622,0.638661060407089,0.24,0.24,0.211020408163265,20,0.0035,TRUE,6,TRUE
8,5,3,0.2,-0.00982976035836778,0.69381566564827,0.28,0.24,0.208888888888889,20,0.0035,TRUE,6,TRUE
8,6,3,0.4,0.123526462089191,0.839768388438046,0.28,0.24,0.175555555555556,20,0.0035,TRUE,6,TRUE
9,1,20,0.09,0.111907940048821,0.802078679903341,0.24,0.24,0.25575,20,0.0035,TRUE,6,TRUE
9,2,11,0.4,0.102316117775079,0.827497381103135,0.24,0.24,0.233884297520661,20,0.0035,TRUE,6,TRUE
9,3,15,0.56,0.831500310366973,1.18107948187933,0.24,0.24,0.191555555555556,20,0.0035,TRUE,6,TRUE
9,4,8,0.675,0.922581987679527,1.22277545137384,0.28,0.24,0.1928125,20,0.0035,TRUE,6,TRUE
9,5,5,0.36,0.418139554358064,0.950027954671025,0.36,0.28,0.1376,20,0.0035,TRUE,6,TRUE
9,6,1,0.8,2.64273425939368,1.99678093043516,0.48,0.32,0.1,20,0.0035,TRUE,6,TRUE
10,1,20,0.28,0.511279284989624,1.00916458223531,0.24,0.24,0.25185,20,0.0035,TRUE,4,TRUE
10,2,9,-0.133333333333333,-0.164347840435477,0.63746554819593,0.24,0.24,0.221481481481482,20,0.0035,TRUE,4,TRUE
10,3,4,-0.05,-0.161599678597686,0.698918259571587,0.32,0.36,0.11625,20,0.0035,TRUE,4,TRUE
10,4,3,-0.0666666666666667,-0.163661292037463,0.627844947754942,0.32,0.4,0.115555555555556,20,0.0035,TRUE,4,TRUE
11,1,20,0.11,0.134605704009007,0.816184542147561,0.24,0.24,0.2539,20,0.0035,TRUE,15,FALSE
11,2,10,0.02,0.13825909124105,0.858082530552186,0.24,0.24,0.2422,20,0.0035,TRUE,15,FALSE
