"bottleneck","n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar"
FALSE,20,1,0,0,0.487539425567681,1.22432596000556e-05
FALSE,20,2,0.000853174603174603,0.000714285714285714,0.459380324642455,0.000346402680134908
FALSE,20,3,0.0138755020080321,0.0106626506024096,0.422548662243335,0.00178002059188991
FALSE,20,4,0.0378734715576821,0.0278575225943647,0.387190929414447,0.00338935091103511
FALSE,20,5,0.061061320754717,0.0385377358490566,0.361745270494591,0.00407961350156985
FALSE,20,6,0.0820168067226891,0.0496703296703297,0.340021212960123,0.00463481427304804
FALSE,20,7,0.101650071123755,0.0563015647226174,0.322771979539591,0.00512885325405081
FALSE,20,8,0.115990747879722,0.0598920585967618,0.309839874924618,0.0051638681542387
FALSE,20,9,0.131213114754098,0.0655737704918033,0.297616083790429,0.00549675046481062
FALSE,20,10,0.144295532646048,0.068213058419244,0.289024816267661,0.00577915361835581
FALSE,20,11,0.151762589928058,0.0665827338129496,0.283039272107044,0.00568323553071407
FALSE,20,12,0.158923933209648,0.0674953617810761,0.276850882558843,0.00570942526461488
FALSE,20,13,0.16466985645933,0.0675598086124402,0.272428543892959,0.00561681898017616
FALSE,20,14,0.172490272373541,0.0689105058365759,0.267706279683205,0.00564772835591987
FALSE,20,15,0.177351778656126,0.0688537549407115,0.264616244206048,0.00555389258050202
FALSE,60,1,0,0,0.495839625034464,1.3881420430573e-06
FALSE,60,2,0,0,0.485879862568566,2.24714786734008e-05
FALSE,60,3,0,1.98511166253102e-05,0.47145688464357,0.000117828028037224
FALSE,60,4,0.000952853598014888,0.000714640198511166,0.452955593686623,0.000443986279112762
FALSE,60,5,0.00605577689243028,0.00430278884462151,0.432358372755277,0.00123111301609657
FALSE,60,6,0.0150278481012658,0.00933670886075949,0.41129526758597,0.00194046575354666
FALSE,60,7,0.0262714508580343,0.0142901716068643,0.392913953745021,0.00243987683427595
FALSE,60,8,0.0364066702528241,0.0197310381925767,0.377678627462046,0.00300412954442515
FALSE,60,9,0.0473614190687361,0.0232815964523282,0.363694978717922,0.00345679488733715
FALSE,60,10,0.057744874715262,0.0261958997722096,0.352570919298581,0.0037887248243276
FALSE,60,11,0.0686244921648288,0.0293209518282066,0.342705986193288,0.00409808211078952
FALSE,60,12,0.0756904761904762,0.0318333333333333,0.334367451674077,0.00440086809594893
FALSE,60,13,0.0825970873786408,0.0323300970873786,0.32744545768643,0.00432928064020758
FALSE,60,14,0.0876904176904177,0.0334643734643735,0.321432690246501,0.00446303292163584
FALSE,60,15,0.094950495049505,0.0351980198019802,0.315317825067194,0.0046544532486215
TRUE,20,1,0.281111111111111,0.292361111111111,0.154120289765212,0.00366769990550636
TRUE,20,2,0.296269841269841,0.306448412698413,0.14401175698419,0.00340148907169363
TRUE,20,3,0.320727650727651,0.322286902286902,0.131298562356775,0.00324449498783276
TRUE,20,4,0.3440190816935,0.328515205724508,0.121180556908022,0.00306135331063533
TRUE,20,5,0.363328550932568,0.32622668579627,0.114382169829445,0.00306713241018177
TRUE,20,6,0.376083550913838,0.318572671888599,0.111808720548359,0.00303646070484091
TRUE,20,7,0.384808080808081,0.31220202020202,0.109080040207801,0.00301909260184716
TRUE,20,8,0.391483578708947,0.307497168742922,0.106755908494849,0.00301038772995222
TRUE,20,9,0.396472049689441,0.302012422360248,0.105434814239537,0.00299104595607467
TRUE,20,10,0.402849604221636,0.30089709762533,0.103169953023169,0.00302239153409234
TRUE,20,11,0.407252124645892,0.298696883852691,0.101028217560906,0.00306700477872775
TRUE,20,12,0.411764705882353,0.295505279034691,0.0999899100832112,0.00308731767128308
TRUE,20,13,0.414779874213836,0.293899371069182,0.0988051464597082,0.00305689535675185
TRUE,20,14,0.418675282714055,0.292019386106624,0.0974470401135571,0.00296087836966046
TRUE,20,15,0.421070234113712,0.28943143812709,0.0962121272004568,0.00285003418114133
TRUE,60,1,0.277516145057129,0.289100844510681,0.15654866147817,0.00374472923143465
TRUE,60,2,0.281450571286637,0.291942374565325,0.153299091653849,0.00362579412096977
TRUE,60,3,0.291326021934197,0.299102691924227,0.147353253477197,0.00351610256748587
TRUE,60,4,0.306865059004618,0.307193432529502,0.139501026304976,0.00340376786747657
TRUE,60,5,0.326354515050167,0.309476031215162,0.132756066408098,0.00326650284936764
TRUE,60,6,0.343698206555349,0.311292517006803,0.125941410472829,0.00333493073031173
TRUE,60,7,0.354583921015515,0.305021156558533,0.123158416138547,0.00329440462383283
TRUE,60,8,0.364517647058824,0.301992156862745,0.119890208666507,0.0034134030567635
TRUE,60,9,0.371883561643836,0.297979452054795,0.117601696983465,0.00338134652361469
TRUE,60,10,0.37758945386064,0.293370998116761,0.116281738908748,0.00343821680923937
TRUE,60,11,0.381733870967742,0.289395161290323,0.115249197212662,0.00338889183805411
TRUE,60,12,0.386285714285714,0.287915343915344,0.113054013583274,0.00343509012659881
TRUE,60,13,0.389191583610188,0.284252491694352,0.11241798681388,0.00341782158896373
TRUE,60,14,0.393684210526316,0.282151029748284,0.110774384312446,0.00339112208763531
TRUE,60,15,0.396587677725118,0.280616113744076,0.109533095880071,0.00335611056066766
