"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,15.23275,34.5026193224438,0.999666666666667
20,3,12.6984166666667,59.4839211531507,0.984166666666667
20,4,11.6800833333333,94.5116126274411,0.917333333333333
20,5,11.6421666666667,155.895279912214,0.814833333333333
20,6,12.6498333333333,278.142395171811,0.7165
20,7,14.9291666666667,535.135577270279,0.636583333333333
20,8,18.88125,1137.45093601546,0.574833333333333
20,9,25.1865833333333,2535.10519542588,0.5335
20,10,35.4249166666667,6065.25763396199,0.50475
20,11,51.7030833333333,15224.7676544652,0.483166666666667
20,12,77.8364166666667,39592.3591870937,0.468666666666667
20,13,120.491583333333,107893.670901736,0.4565
20,14,190.442333333333,300417.54496993,0.449583333333333
20,15,306.568916666667,859086.427952863,0.444333333333333
60,1,60,0,1
60,2,45.3213333333333,101.947740533929,1
60,3,37.8925,174.846014251185,1
60,4,34.548,262.60557979832,0.99975
60,5,34.1539166666667,413.814877566191,0.996083333333333
60,6,36.4728333333333,699.874751534865,0.98575
60,7,41.847,1262.43379381614,0.9645
60,8,50.6636666666667,2437.68885396006,0.939166666666667
60,9,64.6861666666667,4967.07076453601,0.912666666666667
60,10,86.8593333333333,10742.8801195654,0.891333333333333
60,11,121.044166666667,24878.7996159393,0.87275
60,12,174.135833333333,60022.119059229,0.85775
60,13,258.922166666667,151718.046779208,0.845666666666667
60,14,394.75175,395993.952117946,0.83625
60,15,614.814916666667,1069805.4072781,0.829083333333333
