"n.pop0","gen","bottleneck","nbar","nvar","pext"
20,1,FALSE,20,0,1
20,1,TRUE,20.0595238095238,1.98156682027651,1
20,2,FALSE,16.6760912698413,36.6875868978691,1
20,2,TRUE,15.6865079365079,59.3309543503092,1
20,3,FALSE,15.1036706349206,71.2979319291817,0.99156746031746
20,3,TRUE,14.249503968254,141.915384369215,0.962301587301587
20,4,FALSE,14.8368055555556,128.820500758203,0.951884920634921
20,4,TRUE,14.0739087301587,267.815378461144,0.853174603174603
20,5,FALSE,15.8050595238095,228.701929723502,0.886904761904762
20,5,TRUE,15.1036706349206,505.474606867145,0.728670634920635
20,6,FALSE,18.1046626984127,446.867948471781,0.802083333333333
20,6,TRUE,17.7470238095238,976.192050691261,0.627480158730159
20,7,FALSE,22.2599206349206,901.720000787734,0.73859126984127
20,7,TRUE,21.4697420634921,1846.48642891602,0.543154761904762
20,8,FALSE,28.9662698412698,1896.8355862775,0.685019841269841
20,8,TRUE,27.3134920634921,3762.25899405257,0.492559523809524
20,9,FALSE,39.6180555555556,4326.0078921974,0.645337301587302
20,9,TRUE,36.0208333333333,7899.65713399517,0.453869047619048
20,10,FALSE,56.9826388888889,10791.6676885168,0.62202380952381
20,10,TRUE,49.1274801587302,17287.484981439,0.429563492063492
20,11,FALSE,84.2762896825397,27145.7643209164,0.604166666666667
20,11,TRUE,68.6061507936508,40099.8378579307,0.408730158730159
20,12,FALSE,128.120535714286,70935.1492356437,0.591765873015873
20,12,TRUE,98.1051587301587,95418.8484895013,0.391369047619048
20,13,FALSE,200.870535714286,197121.657176089,0.577876984126984
20,13,TRUE,143.609126984127,236746.474437745,0.377480158730159
20,14,FALSE,321.731646825397,568115.959216336,0.568948412698413
20,14,TRUE,213.579365079365,601994.43042262,0.367559523809524
20,15,FALSE,521.827876984127,1651678.60609095,0.563988095238095
20,15,TRUE,324.85119047619,1575995.82002833,0.359623015873016
60,1,FALSE,60,0,1
60,1,TRUE,59.9404761904762,3.56965615030131,0.999007936507937
60,2,FALSE,50.1770833333333,113.76664081886,1
60,2,TRUE,46.9791666666667,320.212965260546,0.999007936507937
60,3,FALSE,45.687003968254,233.566997272439,1
60,3,TRUE,42.1294642857143,843.896382045371,0.998015873015873
60,4,FALSE,45.4365079365079,398.041624325497,1
60,4,TRUE,41.3536706349206,1581.80090959668,0.979662698412698
60,5,FALSE,48.1651785714286,684.353347660402,0.998511904761905
60,5,TRUE,44.3993055555556,2906.6399796664,0.926587301587302
60,6,FALSE,54.2385912698413,1210.91525439166,0.996527777777778
60,6,TRUE,50.0119047619048,5178.12690535266,0.857142857142857
60,7,FALSE,64.5406746031746,2278.46980877546,0.988095238095238
60,7,TRUE,59.5634920634921,9694.8257434321,0.783234126984127
60,8,FALSE,80.6428571428571,4637.75129386742,0.982142857142857
60,8,TRUE,74.7440476190476,18886.6619992912,0.716269841269841
60,9,FALSE,105.681051587302,9726.20045467523,0.969246031746032
60,9,TRUE,96.6269841269841,37619.4270432077,0.660714285714286
60,10,FALSE,144.447420634921,22022.2066633188,0.958829365079365
60,10,TRUE,129.043154761905,78693.2671193724,0.606150793650794
60,11,FALSE,205.328869047619,53009.1002281991,0.951388888888889
60,11,TRUE,176.722718253968,169382.791066752,0.577876984126984
60,12,FALSE,299.453373015873,128474.257874473,0.939980158730159
60,12,TRUE,247.231150793651,377504.588726414,0.551587301587302
60,13,FALSE,449.791170634921,332184.055127959,0.932539682539683
60,13,TRUE,353.214285714286,866945.228500518,0.52827380952381
60,14,FALSE,691.366071428571,877388.190490966,0.926587301587302
60,14,TRUE,513.620535714286,2040612.31399995,0.514384920634921
60,15,FALSE,1084.05109126984,2387536.41872832,0.923611111111111
60,15,TRUE,759.457341269841,4959461.45326625,0.507440476190476
