"n.pop0","gen","extinct","gbar","zbar","wbar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,10,FALSE,0.875460788120173,0.886509938696534,1.21804186366203,571,0.065237884297876,0.11337831502511,0.000925675400679382,0.111789374116077,0.0801512086114021,0.00552663940065979,0.0319084499988092,0.0233693903313935,0.000459878876844965
20,10,TRUE,0.29075532023532,0.276815937745305,0.89414648259883,125,0.0952117342374501,0.0357862334470847,0.00653400424178353,0.243533363408694,0.0540873759860389,0.0257232992973215,0.0641712403288374,0.0158439286201681,0.00149957343073247
20,11,FALSE,0.895783663795813,0.893159354773973,1.22140102191268,571,0.0666715111914499,0.0823164955169565,0.0014699146370751,0.0763914740529717,0.102812828031157,0.00132281876486428,0.0228341274345293,0.0281944322186047,0.000135118905457613
20,11,TRUE,0.329730306730307,0.345929376264747,0.92927027019086,90,0.0904332164185691,0.0637936380511527,0.00727731936869067,0.239782745664834,0.160567392672965,0.0361420015663428,0.0659064550859898,0.0448886779154004,0.00226112997065181
20,12,FALSE,0.916471564870283,0.918688582056902,1.23497594004317,571,0.067308243882034,0.0857446776880301,0.0013912962363042,0.0785058730843786,0.138392023448715,0.00236674508854898,0.0231129794138364,0.0392197961525262,0.000203665193984536
20,12,TRUE,0.385107426686374,0.352491738276274,0.924982156513099,57,0.0817677656536962,0.0605521504845207,0.00366950447974721,0.21680094700452,0.101734919714571,0.0504423914924394,0.0678008283322717,0.0300283134368731,0.00572640581447947
20,13,FALSE,0.941826092330218,0.927540931234903,1.23899539407328,571,0.0727842860471191,0.100730975294023,0.00181009782279542,0.0957584698783343,0.0776292245558171,0.0044542612917951,0.0277435663836448,0.0231584838370659,0.000332648861968478
20,13,TRUE,0.366862745098039,0.341230538149378,0.927874104685507,34,0.164114779541446,0.0538701922398589,0.0378350542608988,0.214310867929864,0.232482186784815,0.122521392222295,0.0534074860013731,0.0580777976141161,0.00463779424549046
20,14,FALSE,0.96134806892153,0.965000470548653,1.25906759773035,571,0.0759834865851867,0.0984566257482598,0.00200600719885909,0.107116912189061,0.140250339708212,0.0035507345873495,0.0312694785626087,0.0381668229397361,0.000283344146261177
20,14,TRUE,0.496190476190476,0.30626390285203,0.890147007953106,14,0.0111111111111111,0.095837037037037,0.000158024691358025,0.019231911907437,0.380582905173553,0.000373579522562865,0.00283948438914444,0.123396462859356,8.39106130782137e-06
20,15,FALSE,0.979499060635231,0.978511709782037,1.26605988460624,571,0.0787601670163428,0.0990147407844997,0.00229373203527867,0.119947997782445,0.0991057569240929,0.00510802003096593,0.0341792611983086,0.0306443977665911,0.000412787680669056
20,1,FALSE,0.484746059544658,0.485336057656222,1.00658373126216,571,0.00707480303646126,0.176225633736847,2.12420831827246e-05,0.034389140098666,0.19361096692629,0.000723323866413557,0.00935056564237137,0.0472091621268538,5.5910383727169e-05
20,1,TRUE,-0.227503438789546,-0.223116278610797,0.654570837858275,1454,0.00804883498267731,0.191597792458863,1.15554999039396e-05,0.0295655823047432,0.17804978103801,5.18233279316255e-05,0.00679902341440083,0.0421477906435138,4.15198650519083e-06
20,2,FALSE,0.547108689771231,0.549327818900329,1.03891776300527,571,0.0265588331546893,0.139407914007411,0.000444208241840991,0.0536404424796936,0.137893385506018,0.00103425485808655,0.0149180790487098,0.0359915574377265,5.52749384159249e-05
20,2,TRUE,-0.179511467934777,-0.180117167067567,0.672885622272109,1454,0.0288256649368318,0.166282600967137,0.000183900757762923,0.0698290108743344,0.166250490582092,0.000937226435162621,0.0160544798610735,0.0401324608807439,2.33446327182472e-05
20,3,FALSE,0.610326022166349,0.611659677931139,1.07192163693109,571,0.0446511726561006,0.102786483093035,0.00158294705553051,0.0699957994829289,0.109831193202805,0.00169806938259749,0.0188315539168244,0.0297091916446436,0.00011388896462613
20,3,TRUE,-0.128947821427069,-0.127784029350761,0.699504895378974,1379,0.0595789843148139,0.154405230593241,0.00123142343019662,0.161563757134492,0.160313958857418,0.0106904426696633,0.034899528161633,0.0389156323605883,0.000314378174073977
20,4,FALSE,0.662213759107462,0.65454340564823,1.09498321640434,571,0.0424083911939181,0.0904164974211657,0.000885957758264676,0.073827705116817,0.0842940184102231,0.00114166746123236,0.0209831208647907,0.023186187445046,7.50715841983856e-05
20,4,TRUE,-0.0575128673156717,-0.0759849120995013,0.720776056316329,1117,0.0837332787240229,0.136748590960318,0.00226474128225076,0.218771877783871,0.121169548833572,0.011434475556359,0.0500992224633627,0.0301070096237075,0.000463225147827786
20,5,FALSE,0.708246303300581,0.703297005753304,1.12143992011495,571,0.0514604844435637,0.0994664558847963,0.00118007271231288,0.0834016489038766,0.135407315242591,0.00167968695338682,0.0231430927974384,0.0384581710517719,8.07884057403231e-05
20,5,TRUE,0.0273940756442889,0.0414823418045789,0.776167405427123,812,0.11824870213152,0.125641305186486,0.00481992262144288,0.258772343875765,0.128881385961691,0.0175105757298361,0.0633394120082399,0.0323647359396164,0.00103970576816171
20,6,FALSE,0.756094649514613,0.756022659801534,1.1487098111342,571,0.0534700285573455,0.0967570066228872,0.000764422898661997,0.104092347918512,0.149125901638391,0.00442517292955471,0.0303400994703018,0.0363241503984296,0.0003915403246402
20,6,TRUE,0.122645704193043,0.0995420595519355,0.807082349971894,563,0.137690745928784,0.102843548664461,0.00802521753599023,0.299991878416984,0.0929997182906825,0.0312337309870765,0.0735928167074493,0.0239564755877083,0.00219818997479937
