"n.pop0","gen","gbar","zbar","wbar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,1,-0.0271851851851852,-0.024842083485955,0.754108852973625,2025,0.0084375028361695,0.201562474301994,8.47879441951538e-06,0.0336971701823126,0.198485985331238,3.99649764151744e-05,0.00774286657767378,0.0472764021104399,2.30999931842572e-06
20,10,0.793258704378388,0.79016846207808,1.16639628467165,631,0.112181251197895,0.0896194920441593,0.00535318888855343,0.198245364323207,0.0808956201779577,0.0251995816151755,0.0568140415608343,0.024311991236834,0.00206856265140932
20,11,0.843414042374975,0.841453540243308,1.19241352095445,597,0.107622045510249,0.0789420575012193,0.00302436016648636,0.149634064803084,0.127758652677547,0.00827423479196571,0.0448329600782088,0.0379057939419201,0.000779673338185755
20,12,0.865809036582831,0.861385564746823,1.20390087354199,578,0.107297104603077,0.0835250944216689,0.00363349997988978,0.16801108909853,0.123732381175519,0.0069702814738953,0.0488488582760996,0.0367175636003895,0.000638737495115168
20,13,0.9194273753831,0.915840416919447,1.2317917455004,533,0.0915490369166531,0.0766598307651674,0.0032497784787705,0.258251552218996,0.115308540814109,0.348319544476974,0.0605872051176974,0.031852853238834,0.0115466556765134
20,14,0.956005177244826,0.956053643866366,1.25431157425868,509,0.096828952651093,0.0629939828741664,0.00365811051853606,0.159868863989282,0.0883446892550134,0.0220845059689862,0.0447302408170717,0.0270255533883834,0.00116258836723978
20,15,0.982060128082263,0.984296785733567,1.26968631845264,496,0.0940244586513584,0.0560207096698486,0.0031617558337157,0.116971922300654,0.0559663260801118,0.00736532527588325,0.0336767706766024,0.0158223320248964,0.000579261979500513
20,2,0.0272033415047466,0.0187496403897827,0.773678315518885,2025,0.0307828254792815,0.190207622938841,0.000209989704614588,0.0777564250288864,0.19452516716251,0.00119187801089245,0.017162062026591,0.0473212417736416,2.49303026272792e-05
20,3,0.0877168634106864,0.0796609070034874,0.803935995042845,1929,0.0632830891363475,0.189874218310043,0.0011258065097292,0.159767947463799,0.192045076045922,0.00648308329113561,0.0356198860019005,0.0471793339873626,0.000168820854251676
20,4,0.191852762365534,0.186307381095791,0.856528052315817,1618,0.0904575794462503,0.178532195994686,0.00272193442801561,0.217030217548715,0.189388654953112,0.0181123742600428,0.0483270872237801,0.0473514327774923,0.000544383342400143
