"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,13.2488333333333,48.1555949384671,0.998666666666667
20,3,10.27125,83.1381016126331,0.931583333333333
20,4,8.66541666666667,114.136815394337,0.76025
20,5,7.92158333333333,144.712826895306,0.598166666666667
20,6,7.66366666666667,179.039633191639,0.483
20,7,7.80608333333333,226.158159506343,0.411083333333333
20,8,8.01375,279.76537471869,0.355416666666667
20,9,8.37191666666667,335.097019411282,0.319166666666667
20,10,8.91658333333333,404.501666798533,0.295333333333333
20,11,9.48475,482.366131281822,0.273833333333333
20,12,10.0461666666667,555.022787204457,0.26025
20,13,10.7786666666667,648.568725616088,0.248416666666667
20,14,11.5158333333333,742.527959968875,0.238916666666667
20,15,12.1753333333333,829.430210739821,0.232
60,1,60,0,1
60,2,34.76325,202.513908929908,1
60,3,24.5423333333333,286.660429591356,0.995833333333333
60,4,19.3945833333333,323.614855230991,0.94575
60,5,16.60025,352.931527564794,0.839166666666667
60,6,15.0338333333333,387.324965719358,0.719
60,7,14.1958333333333,425.75279537185,0.61625
60,8,13.8774166666667,481.957219761361,0.539916666666667
60,9,13.8649166666667,536.631888483731,0.480166666666667
60,10,14.17075,608.137772585152,0.440416666666667
60,11,14.6339166666667,695.06632185312,0.405083333333333
60,12,15.1693333333333,777.460114564997,0.382583333333333
60,13,15.89375,874.866366467932,0.360666666666667
60,14,16.6584166666667,973.291178424673,0.3475
60,15,17.43475,1080.5414542252,0.335666666666667
