"n.pop0","ext.gen","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,2,1,-0.730084745762712,0.152344437201217,-0.780358855485155,0.173807526403489,0.432285076671578,0.022812314699998,118
20,2,2,-0.696542268936337,0.186249944143722,-0.734471027828211,0.355349331045061,0.447818870230511,0.0501255952762446,118
20,3,1,-0.440608974358974,0.138103486478687,-0.471830512610818,0.142107310486879,0.545284638570452,0.0245824831480061,312
20,3,2,-0.411588835898389,0.166503389971095,-0.436167915553765,0.22511265304096,0.56226115056294,0.0410466096514597,311
20,3,3,-0.42578103033087,0.219889690480193,-0.467678068115971,0.461865990240259,0.548067197641122,0.0884023866115389,311
20,4,1,-0.351388888888889,0.112790823274528,-0.357994375972196,0.127463573075463,0.594059468417817,0.0252172433638965,360
20,4,2,-0.311828168131509,0.131612137035748,-0.296948036979522,0.171880798071173,0.622175086654412,0.0346007333133389,360
20,4,3,-0.301728161498995,0.168335619687369,-0.304129208466176,0.247568684901144,0.614431670501547,0.0513028148313616,360
20,4,4,-0.27898216289883,0.223804083322544,-0.287637718106999,0.577099186956669,0.629223327346432,0.111416587168682,360
20,5,1,-0.218287037037037,0.113189145133506,-0.202433806770649,0.122277774740374,0.661718016067069,0.0271046297105286,216
20,5,2,-0.183107701708133,0.115232022693625,-0.173567572445724,0.149954002095481,0.676029915070154,0.0338578517356371,216
20,5,3,-0.138297207349817,0.125062565014773,-0.088387366784252,0.184342175841468,0.710681935308864,0.043539001130433,216
20,5,4,-0.120809832793084,0.166040082417506,-0.117492221502949,0.289924466648094,0.702621214762758,0.0615412727541228,216
20,5,5,-0.11411044973545,0.233148441691276,-0.16639318208906,0.588688915448844,0.682998342829638,0.133886057104843,216
20,6,1,-0.0958024691358025,0.126008358254735,-0.0871386240337603,0.140132035951709,0.715729345941962,0.0318502793246784,162
20,6,2,-0.0509614944089619,0.12670953633626,-0.0514905171920057,0.152841223786868,0.731899394388416,0.0354813394366259,161
20,6,3,-0.0163003465797328,0.139331585803661,0.00524938959813425,0.193940498461688,0.760950359794202,0.0455363559212965,161
20,6,4,0.00600405166627308,0.14498140435574,0.0272878238558547,0.187546346880619,0.764655056803683,0.0468742371706581,161
20,6,5,0.0268475279034285,0.182508804309859,0.028800126686882,0.253743722073492,0.767837867416036,0.0648060680516345,161
20,6,6,0.0405165228146595,0.228311298118575,0.0204708879390014,0.498961692189265,0.768237377037381,0.12589747757651,161
20,7,1,-0.104947368421053,0.0953486674132139,-0.100908556390074,0.112820236336544,0.710947237171478,0.0256268023057536,95
20,7,2,-0.0357249395076534,0.109217410566785,-0.0181326623340348,0.132448161214331,0.744892261396559,0.0321630164786396,95
20,7,3,0.00166090255600584,0.117573628802372,0.0205598210459266,0.139899336055042,0.766617518806477,0.0337979720844171,95
20,7,4,0.032473637781117,0.125765800282592,0.0603137779877826,0.169146662079404,0.784834871730699,0.0417291636322607,95
20,7,5,0.0390516310405507,0.150269614894703,0.0966789122639937,0.22933939907091,0.799545083162249,0.0585082696870457,95
