"n.pop0","gen","ext.gen","gbar","gvar","zbar","zvar","wbar","wvar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,1,2,-0.452666666666667,0.0430009009009009,-0.465666778750402,0.0600844278674827,0.546086758391296,0.00968618682816441,75,0.00894538961038961,0.0670146029075347,1.63194696647508e-05,0.0316917049063474,0.0548537981119035,0.000237217380810831,0.00594703295045846,0.00838200830070526,1.52447469697674e-05
20,1,3,-0.376259541984733,0.059744576058027,-0.399905719825421,0.0672187189730581,0.572750383064078,0.013112832248316,262,0.0118839113064118,0.126885520640934,9.32144398103953e-05,0.0242721801499777,0.108818847399134,0.000179832712156565,0.00520108477478525,0.0233326891624432,1.15526113726531e-05
20,1,4,-0.328262295081967,0.0624709836065573,-0.314248270122009,0.0797993260545172,0.611987317313475,0.0159796380832689,305,0.00835576383574907,0.115228505252543,1.12980913678089e-05,0.0326135270145513,0.0929976974125228,0.000338358194677029,0.00707328625344097,0.019898359431762,2.55586426784658e-05
20,1,5,-0.25859437751004,0.0864750323876149,-0.241391162714241,0.100136837567114,0.643986364857189,0.0215243972946775,249,0.00832392588093843,0.153798338362568,2.8008837953072e-05,0.0346812033852289,0.135475750271787,0.000577119793634699,0.00805605365025301,0.031423681128355,4.70338487023605e-05
20,1,6,-0.184378698224852,0.0915033319244858,-0.17566431031874,0.112440094544863,0.676090806308621,0.0236281151612805,169,0.00879613573624443,0.156771019092954,2.38866222992096e-05,0.0315096131426429,0.135635304192986,0.000376586076970074,0.00681825174593891,0.0306345995124036,1.71264251195998e-05
20,1,7,-0.0336363636363636,0.113895,-0.0353398813263861,0.113904756893125,0.741098016202288,0.0261903199304902,121,0.00963587632275132,0.173416976695593,8.66369762179879e-05,0.0324482585860943,0.152882379677937,0.000755040783775963,0.00750662320437536,0.0362797686876439,5.03622110516593e-05
20,1,8,-0.024578313253012,0.0926056126946811,-0.0320419397137264,0.109670260120633,0.743204584587583,0.0251675477308138,83,0.0053112641723356,0.135873157581247,1.91203918345751e-05,0.0311258446730442,0.133090958947741,0.000961802718717626,0.00687807940689014,0.0307908517283717,4.33797163514878e-05
20,1,9,0.0126153846153846,0.123700865384615,0.0281653139420142,0.150215562547437,0.776977612017756,0.0345543064508627,65,0.00779585434173669,0.168137022400133,9.49301997311424e-05,0.0343971781188167,0.163116121458516,0.00064023725983798,0.00752648150873416,0.0389171643333167,3.51046920827883e-05
20,1,10,-0.00485714285714286,0.0692374789915966,0.00457659089027577,0.0847880445257111,0.761808007984606,0.0208143579011322,35,0.00490925925925926,0.0926465682539682,9.90223271604938e-06,0.0186825309646204,0.0875041915793561,0.000335631175292897,0.00584229188845914,0.0200031790156593,2.81883628550795e-05
20,1,11,0.0106060606060606,0.109012121212121,0.046320063605885,0.137620417919019,0.77970067785471,0.0330986361710467,33,0.010223,0.116054497076023,0.000354868734444445,0.0340978514745664,0.144456937160266,0.00137958482946906,0.00918957626370664,0.0350445367863905,8.94419968026271e-05
20,1,12,0.0830434782608696,0.0709857707509882,0.113088564234718,0.10126567909608,0.808291128176799,0.0262453550226524,23,0.00212833333333333,0.0958259015151515,9.94616666666667e-07,0.0199192399619938,0.120178436502196,0.000362362532276058,0.00609125241398226,0.0298262778120814,3.56000054065869e-05
20,1,13,-0.00299999999999999,0.122422105263158,0.0207603690352946,0.107475662539802,0.768316269589682,0.0238953105035242,20,0.00634444444444444,0.132184595959596,4.90677407407407e-05,0.0338645151437515,0.093061909351647,0.00027930051924351,0.00710453902812475,0.0205139973180632,4.2459038394613e-06
20,1,14,0.0478571428571429,0.123587362637363,0.0948930242578165,0.148374029550879,0.803428489761638,0.0354142772220375,14,0.018925,0.140661174242424,0.00044253125,0.120045440761573,0.152368321201393,0.0226577903169178,0.0302849191499686,0.0361247988226899,0.00143900430330444
20,1,15,0.484746059544658,0.110434102067779,0.485336057656222,0.140478073178951,1.00658373126216,0.038319188480096,571,0.00707480303646126,0.176225633736847,2.12420831827246e-05,0.034389140098666,0.19361096692629,0.000723323866413557,0.00935056564237137,0.0472091621268538,5.5910383727169e-05
20,2,2,-0.399435016835017,0.0962521709388218,-0.443576543026041,0.208710938958795,0.547002224041243,0.0433817431365555,75,0.0817890731705249,0.0627838845514899,0.00605294055619043,0.171464319560794,0.129334128603325,0.0294914066833087,0.0359602242960972,0.0290565416146554,0.00138438270580599
20,2,3,-0.346621891754564,0.0918221162511415,-0.381141834531858,0.143261741023282,0.582514995965028,0.028934737259748,262,0.0399913012581156,0.129656120918529,0.00042959991302706,0.0905786592809144,0.138101190265361,0.00224443514860094,0.0194537536752868,0.0311240972114111,8.0114578754784e-05
20,2,4,-0.287270187598569,0.0706098579753342,-0.282065707476536,0.115000983738948,0.623419729845403,0.0242037277875748,305,0.0330129404558185,0.0855924334767786,0.000535224475728265,0.0700830731974509,0.0794189441710118,0.00114855718800963,0.0154802029897367,0.0178969730302283,5.04740384930608e-05
20,2,5,-0.206402198623354,0.0948783675231811,-0.206532976043685,0.131503689865927,0.658542978164859,0.0283246201889719,249,0.0280455007755697,0.129693157243967,0.000377643888175796,0.0654603231035771,0.140757714297482,0.00173244842503057,0.0152374062045726,0.0325121904013445,0.000133901763554913
20,2,6,-0.118186740985454,0.0780360372830223,-0.0784342278827541,0.121386646517495,0.719799640366816,0.0287532492861525,169,0.0232817488952484,0.107834947435599,0.000266481640734252,0.0625985478875266,0.133598751691361,0.00346317594027369,0.0145206813702136,0.0336670787659807,0.000163963379467171
