"n.pop0","extinct","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,FALSE,1,0.0450288350634371,0.024005628497833,0.0627004475537386,0.0484899997613068,0.803942421822562,0.0113588345325008,867
20,FALSE,2,0.257550621131836,0.0592599697537153,0.264748783051735,0.0910912195450397,0.898850500369534,0.0228432203639375,867
20,FALSE,3,0.435616188352463,0.09833356686075,0.453217605006129,0.132996311385828,0.993643863613896,0.0332022283193512,867
20,FALSE,4,0.584525875898218,0.12633240009643,0.602945691782237,0.157474188796554,1.06832945906781,0.0398278039177515,867
20,FALSE,5,0.714316221699324,0.1417155318961,0.717229088342144,0.176383791116783,1.12514826661232,0.0450882767598552,867
20,FALSE,6,0.813500007338796,0.153827170635951,0.820353628610186,0.184808560322352,1.17780520100531,0.0467801453315421,867
20,FALSE,7,0.901794908392482,0.166046693744832,0.904876246372817,0.179038405840488,1.22062587269784,0.0456396632612273,867
20,FALSE,8,0.968223200440129,0.170552694622824,0.985220256466619,0.190752000296181,1.25842523666849,0.0460680333086427,867
20,FALSE,9,1.02952656429868,0.180628131400344,1.03616661163952,0.203834366344842,1.28288618968653,0.0486717504126225,867
20,FALSE,10,1.08971883525637,0.182154243074775,1.0878562695074,0.204331117136313,1.30898493772597,0.0482375375975045,867
20,FALSE,11,1.15114058823099,0.179224931265405,1.15733213134106,0.190317418060447,1.34291070637404,0.0442966234831226,867
20,FALSE,12,1.20052989892602,0.17988840537224,1.20175297850282,0.196418159768397,1.36365222677188,0.0444212156289023,867
20,FALSE,13,1.2516580362684,0.182081404400435,1.24554610374908,0.20075797419785,1.38344351772086,0.0456804171977761,867
20,FALSE,14,1.29227528914887,0.18950873424943,1.29448725533622,0.193631416001574,1.40748685584315,0.0433583904980753,867
20,FALSE,15,1.33774369525941,0.186123935471219,1.33859953439454,0.195163300781069,1.42731686528038,0.0424006201530891,867
20,TRUE,1,-0.0358635578583765,0.0247380176682295,-0.050524582156226,0.046706666965472,0.748888750744995,0.0104271302454235,1158
20,TRUE,2,0.0394788463660205,0.0708520641722405,0.0306964248142259,0.109661173211683,0.785057209025377,0.025470389735127,1158
20,TRUE,3,0.0861519209952095,0.137705482866369,0.0842578008504396,0.226996090669598,0.810933225839325,0.051910220086837,1132
20,TRUE,4,0.143957113400082,0.197218784647675,0.150039144794769,0.307012769514587,0.840355873399827,0.0739786645825978,971
20,TRUE,5,0.198838721981761,0.224646413589987,0.184768402245812,0.364406433939423,0.857739371072351,0.088945691440685,744
20,TRUE,6,0.233502737062404,0.277747747922882,0.227484696620333,0.413946659932495,0.876968588490671,0.102490618051645,548
20,TRUE,7,0.295905993860874,0.281519937751698,0.285200622464517,0.415597956934103,0.906429539633974,0.10193959213837,401
20,TRUE,8,0.328180385573744,0.301372646575802,0.29978178753503,0.403292335511389,0.912800096070756,0.104055575601201,281
20,TRUE,9,0.366856592366554,0.312868029346314,0.388883078521609,0.41997796009326,0.955707636729912,0.116678908073049,184
