"n.pop0","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,1,-0.00234567901234568,0.02398565119797,-0.00449402988306698,0.0490370301956056,0.770754477458461,0.0111152142835413,2025
20,2,0.139132457363303,0.0804332199427334,0.130651269079539,0.124410963087155,0.834836415082733,0.0293007968220822,2023
20,3,0.253334495101786,0.162385458981112,0.253912998042181,0.227205166018963,0.893763478441865,0.0555357032111531,1989
20,4,0.357052942528237,0.233150729713582,0.361607322138584,0.312801413912962,0.947572688111545,0.0776462034076729,1831
20,5,0.49569218135471,0.256143256168641,0.491857101941742,0.361292641111858,1.01368656441929,0.089319011135746,1558
20,6,0.622529265563517,0.265363253878106,0.616495129155476,0.330085011659315,1.07487770934973,0.0856653132439741,1325
20,7,0.739126124276281,0.280255193189264,0.745703288409842,0.375214375012104,1.13730263541969,0.0950903667854128,1151
20,8,0.865433155897974,0.257933938767891,0.862600473718011,0.32060879044576,1.19685961710147,0.0819255217230209,1024
20,9,0.948662515599301,0.255509121279737,0.952211735862397,0.343080330780599,1.24298578114133,0.0820517405071074,942
20,10,1.01960144865399,0.264698897787069,1.01006093968443,0.30638310407313,1.2701918269097,0.075062415828861,886
20,11,1.10572216482458,0.242173362021917,1.10156672719634,0.273869872913467,1.31486294764743,0.0669884029002826,836
20,12,1.16996098847435,0.22732222971267,1.16598948862173,0.266306697565316,1.34738848120961,0.0642512038136599,801
20,13,1.24115905986779,0.220393537025427,1.25505668947575,0.240419547269877,1.38980755097945,0.0557924391224611,773
20,14,1.29340915476977,0.216140897663295,1.29851698130491,0.230757949040458,1.40839419555955,0.0523586828120605,750
20,15,1.34571485605908,0.212372635340674,1.34725588341799,0.238525902896138,1.43317721113326,0.0528060749848978,733
60,1,0.0028082304526749,0.00806885566345146,0.00200930751790709,0.0168290950178874,0.774184497440342,0.00386834622572281,2025
60,2,0.149427347868986,0.027307855102733,0.147557659671296,0.0418465280504561,0.842220236736948,0.0099492651592299,2025
60,3,0.274024944752715,0.0548285263447293,0.276454236225366,0.0741675514231834,0.904650858123624,0.0182500977786509,2025
60,4,0.389886510506934,0.0892372469710457,0.399163629444851,0.120936254279978,0.966219077927527,0.0305321544569885,2019
60,5,0.497062628964938,0.134179119027976,0.497816898966052,0.168388350307565,1.01360918722752,0.0428344714968213,1992
60,6,0.614538792564609,0.158830567753344,0.616865172560626,0.204558467427723,1.07484537019706,0.0520319257581997,1926
60,7,0.696503730367794,0.197189169973225,0.69450182088008,0.23854135667178,1.11436942762076,0.0606421303308446,1835
60,8,0.789949197255783,0.211814845817787,0.801818821176837,0.257126485650053,1.16787009744974,0.0645161183249987,1726
60,9,0.889362912576654,0.210946847130652,0.886483650383993,0.269223303233316,1.21051159720696,0.0673910526438264,1617
60,10,0.983148027821539,0.223277289155318,0.984864530330699,0.268588256989337,1.25762541555343,0.0661009391474701,1535
60,11,1.07351618680799,0.209852171560872,1.0716529789452,0.241655385258054,1.29887654100428,0.0586478525692606,1455
60,12,1.14233934658816,0.21121054400608,1.15206035327537,0.251238716919164,1.33886475876123,0.0579505192605154,1402
60,13,1.21879195627684,0.202522348124056,1.22455835625521,0.222107471452356,1.37269036874024,0.0512415581145377,1365
60,14,1.29154808636183,0.197685470339835,1.28790473025931,0.225879253901464,1.40181171714906,0.0506177308833542,1334
60,15,1.352358013544,0.195535495666187,1.34980582034484,0.222231705111726,1.43075539578536,0.0486441415023241,1307
