"gen","bottleneck","n.pop0","gbar","gvar","zbar","zvar","wbar","wvar","n.trials"
1,FALSE,120,-0.00379545454545455,0.00415833189722521,-0.00418199527829331,0.0060534307430518,0.755844596790937,0.00145337679089496,1100
1,TRUE,120,-0.0151393939393939,0.207711612338121,-0.0158605284650118,0.208549588126611,0.741115025902547,0.0532778714717387,1100
2,FALSE,120,0.156982001252492,0.0123615431313573,0.159210159636765,0.0151146931042137,0.835518419785212,0.00396694963723341,1100
2,TRUE,120,0.0413026688633459,0.20317452763592,0.0432201571431281,0.205293951448659,0.769426462455046,0.0538658296250276,1100
3,FALSE,120,0.301950270035056,0.0239639951038054,0.302807409317529,0.0273910839521646,0.908665978903934,0.00751161741563167,1100
3,TRUE,120,0.0895057011628342,0.203960909272589,0.089182634921066,0.209467941747715,0.792162158029671,0.0559892956291885,1100
4,FALSE,120,0.424937896915539,0.0353049064445013,0.425505527702359,0.0384710198076726,0.97265656415602,0.0109145227036227,1100
4,TRUE,120,0.141327540959332,0.207473886850917,0.140098125141062,0.217051888598723,0.81793445898876,0.0586390935236392,1100
5,FALSE,120,0.545586277453362,0.0451101378414504,0.544423057661749,0.0487532487929648,1.03579462840784,0.0137401152180546,1100
5,TRUE,120,0.195890658048076,0.211442589937408,0.19567761116096,0.239373346264942,0.847141093700924,0.0635210679191131,1089
6,FALSE,120,0.657978796912034,0.053995354963448,0.655397086555586,0.0612706360962798,1.09526721644254,0.0176016679509294,1100
6,TRUE,120,0.266019520514308,0.211129874487808,0.2656938346795,0.24423321533381,0.883819656476227,0.0653125931621185,1041
7,FALSE,120,0.757762108950598,0.0634694678882505,0.763071198442678,0.069057004944136,1.15290806361108,0.019654331486101,1099
7,TRUE,120,0.349598021473755,0.202767194153976,0.349455008507955,0.22493192543633,0.925570449086489,0.0647299213810007,959
8,FALSE,120,0.856111536010307,0.0702119380680973,0.857348402254887,0.0750036924385647,1.20256900638986,0.0213964122682361,1097
8,TRUE,120,0.431955063411143,0.193577863672833,0.439258488301817,0.214169150395584,0.974203412475078,0.0613964136290565,886
9,FALSE,120,0.946983869567625,0.0816440481403528,0.947481706445357,0.085595880059311,1.2502331712736,0.0240049605320932,1095
9,TRUE,120,0.52229068282119,0.178466638004381,0.508855394479342,0.207145027875081,1.01139065494391,0.0626455615703988,808
10,FALSE,120,1.02995242332143,0.0870324101486118,1.03134690612842,0.0888356617070207,1.29374108310358,0.0245307435113353,1091
10,TRUE,120,0.605913100893416,0.15963473723315,0.607679468396376,0.174912010475116,1.06553895070196,0.0543067819183664,747
