"bottleneck","n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar"
FALSE,20,1,0,0,0.487621726190476,1.13028850584899e-05
FALSE,20,2,0.000674603174603175,0.000555555555555556,0.461351099215915,0.000286943905644452
FALSE,20,3,0.0100050025012506,0.00750375187593797,0.428184888036559,0.00139960687186956
FALSE,20,4,0.0295987493486191,0.0229286086503387,0.395187041222496,0.00294188536528398
FALSE,20,5,0.0518791946308725,0.0382326621923937,0.368053424272978,0.00407351628282392
FALSE,20,6,0.0702288188002474,0.0429931972789116,0.349697909948468,0.00449832602306315
FALSE,20,7,0.0864741437206179,0.0518200134318334,0.333555125570885,0.00517390416923149
FALSE,20,8,0.0980448950036206,0.0538450398262129,0.322936138369475,0.00575218827366419
FALSE,20,9,0.103243658724058,0.0530053804765565,0.316696436039331,0.00551950347001646
FALSE,20,10,0.111387559808612,0.0558851674641148,0.309128832771609,0.00604720129744699
FALSE,20,11,0.116420361247947,0.0561576354679803,0.30376250280313,0.00623960415563596
FALSE,20,12,0.120134115674769,0.0560268231349539,0.299564904199888,0.00625699111723646
FALSE,20,13,0.12206008583691,0.055381974248927,0.296709124334502,0.00628132546089816
FALSE,20,14,0.123173496076722,0.0539145597210113,0.294563346793818,0.00625003948892174
FALSE,20,15,0.124608619173263,0.0535795954265611,0.292189095482179,0.00621888013418188
FALSE,60,1,0,0,0.495807360559965,1.46920353812425e-06
FALSE,60,2,0,0,0.487140080108355,1.7224711620432e-05
FALSE,60,3,0,0,0.476245623501051,6.46025962755387e-05
FALSE,60,4,5.95238095238095e-05,7.93650793650794e-05,0.463762938734808,0.000183317829928239
FALSE,60,5,0.000973671137605564,0.000814704421261798,0.450695011285996,0.000455621909335141
FALSE,60,6,0.00360378297660528,0.00258835241413639,0.437461683883538,0.000884569995703086
FALSE,60,7,0.0072289156626506,0.00391566265060241,0.425762342855065,0.00122908561980674
FALSE,60,8,0.0129090909090909,0.00696969696969697,0.414284931240507,0.00190202593958386
FALSE,60,9,0.0156192425793245,0.00845445240532242,0.405608303560761,0.00222590849876552
FALSE,60,10,0.0194309363683394,0.00966373512674599,0.398216275125593,0.00250772243140348
FALSE,60,11,0.0225443169968717,0.0105943691345151,0.392128412981158,0.00281059423297375
FALSE,60,12,0.0239155672823219,0.010934036939314,0.387659729894002,0.00289252325286
FALSE,60,13,0.0245744680851064,0.0109574468085106,0.383613622207483,0.00298441012154708
FALSE,60,14,0.025610278372591,0.0103854389721627,0.380481861328964,0.00291404584062642
FALSE,60,15,0.0266595059076262,0.0105048335123523,0.377113563490753,0.00297172141705669
TRUE,20,1,0.281507936507937,0.291349206349206,0.154215596753748,0.00367469244622188
TRUE,20,2,0.294960317460317,0.304265873015873,0.144795239077137,0.00344559650653637
TRUE,20,3,0.317278350515464,0.318061855670103,0.133327566937727,0.00330002327629193
TRUE,20,4,0.339395348837209,0.323883720930233,0.124041221176497,0.00312479028781585
TRUE,20,5,0.357086453369639,0.322042205582029,0.117816313453876,0.00308342687861846
TRUE,20,6,0.370687747035573,0.317596837944664,0.113719062267557,0.00324730965723183
TRUE,20,7,0.379397260273973,0.311452054794521,0.111486809576474,0.00334733181549303
TRUE,20,8,0.385941591137966,0.306948640483384,0.109915255468209,0.00341102485259153
TRUE,20,9,0.390994535519126,0.303868852459016,0.107931102033525,0.00353446381737438
TRUE,20,10,0.395288683602771,0.300461893764434,0.107238478030295,0.00355611254987373
TRUE,20,11,0.398543689320388,0.296796116504854,0.106696521579177,0.00358073916255633
TRUE,20,12,0.399138149556401,0.294093789607098,0.106594384997639,0.00359902098199778
TRUE,20,13,0.399789750328515,0.291406044678055,0.106512750739968,0.00360980770907845
TRUE,20,14,0.401295546558704,0.289716599190283,0.105795742419813,0.00367492996898242
TRUE,20,15,0.401710344827586,0.288,0.105513177310514,0.00365739973632191
TRUE,60,1,0.277418073485601,0.289155908639523,0.156434356725146,0.00373685893535627
TRUE,60,2,0.280854021847071,0.291281032770606,0.153656435860268,0.00365415345564871
TRUE,60,3,0.288469184890656,0.297057654075547,0.149211095129719,0.00355454056006267
TRUE,60,4,0.29940253164557,0.303189873417722,0.142770839133835,0.00344726232234187
TRUE,60,5,0.314111349036403,0.305117773019272,0.137447940700293,0.00334950825324333
TRUE,60,6,0.329328703703704,0.305,0.132188264256131,0.00333136021888519
TRUE,60,7,0.340392653578214,0.303837872070931,0.128168336700495,0.00339349440030827
TRUE,60,8,0.349030470914127,0.301135734072022,0.125646089631106,0.00352449319334089
TRUE,60,9,0.355795795795796,0.297837837837838,0.123539228667907,0.00369890611314587
TRUE,60,10,0.358887070376432,0.291358428805237,0.123989361645442,0.00373733274833011
TRUE,60,11,0.36137339055794,0.28937339055794,0.123223825183332,0.00381755943241909
TRUE,60,12,0.364208633093525,0.285647482014388,0.122648737187545,0.00395066944626848
TRUE,60,13,0.365521126760563,0.281840375586854,0.123050168737606,0.0039601482494244
TRUE,60,14,0.365554484088717,0.279382835101254,0.123087007316728,0.00393016276554379
TRUE,60,15,0.366608015640274,0.278435972629521,0.122136155770879,0.00393799333471941
