"gen","bottleneck","n.pop0","gbar","gvar","zbar","zvar","wbar","wvar","n.trials"
1,FALSE,20,-0.00421626984126984,0.498841817359775,-0.00359172117362693,0.750079792460282,0.830059263685964,0.193884279285709,2016
1,FALSE,60,-0.00107308201058201,0.500239425871282,-0.000741168829455194,0.751280524482509,0.831358594109808,0.193788330305502,2016
1,TRUE,20,-0.0720919881305638,0.40138339271018,-0.0754054087629339,0.656592337783564,0.788575531362112,0.169770141104528,2016
1,TRUE,60,-0.0725273088381331,0.404398548150046,-0.0732244882162511,0.651862580782721,0.789230628689004,0.16899066242114,2014
2,FALSE,20,0.139926827091823,0.476928913676992,0.143397430115281,0.730553977662468,0.903935813968459,0.199161198558475,2016
2,FALSE,60,0.152620184465732,0.48774603602445,0.150434044811897,0.737652232105679,0.907768863403772,0.201323452556564,2016
2,TRUE,20,0.147400708322793,0.383080237112971,0.151395177961798,0.634560566979358,0.904007080931455,0.179679485185013,2016
2,TRUE,60,0.136205258156478,0.382541808801477,0.136565361658179,0.634404947699643,0.896582260259367,0.17877279421933,2014
3,FALSE,20,0.28917862655588,0.495006711687155,0.293965454874599,0.742754224088675,0.98278938375679,0.209174689839963,1999
3,FALSE,60,0.292570435915531,0.485902522684075,0.294289837142404,0.734857571038935,0.982678809222232,0.20779639795637,2016
3,TRUE,20,0.326250565669927,0.349493645075085,0.329344445274156,0.601280836046263,0.998371503250902,0.179656739427251,1940
3,TRUE,60,0.316270472019121,0.348706798788628,0.314456421076476,0.600097653338901,0.990383201964611,0.179093393483101,2012
4,FALSE,20,0.454762461970513,0.509525211878616,0.452954625100697,0.756375750618356,1.06610913429418,0.215766375110354,1919
4,FALSE,60,0.434954148471616,0.489156036719175,0.434213229336785,0.738695630527594,1.0569817955698,0.212607241894978,2016
4,TRUE,20,0.483946005004758,0.321235633909478,0.4865503838249,0.568956890124305,1.08434834222064,0.175666022715079,1720
4,TRUE,60,0.463589583658194,0.320993740778155,0.461779168169738,0.569198088499378,1.07086429234621,0.175416674392803,1975
5,FALSE,20,0.612560022596742,0.515791019991105,0.611819671834934,0.758465315745268,1.15088285114438,0.216779495094759,1788
