"n.pop0","gen","gbar","zbar","wbar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,1,-0.0266666666666667,-0.0233502124337761,0.75382978212179,2025,0.00866675342008675,0.20593744957265,1.17272704824168e-05,0.031817973914196,0.202269286327599,3.03700069685794e-05,0.00750684166359364,0.048455064154991,4.350119245489e-06
20,10,0.770449030238554,0.777010297721097,1.15987099781016,696,0.0873159089847505,0.0901609256070919,0.00273319304300181,0.175664067743561,0.0965052665604943,0.0110052285654844,0.0466298009259238,0.0275026670706146,0.000607912717595821
20,11,0.818711345889768,0.818649977972415,1.18162527659504,661,0.0842573899393899,0.0979595647328521,0.00342066579603882,0.128237808876761,0.141476026459061,0.00784422952014208,0.0370327019032476,0.039270416640513,0.000666448934580928
20,12,0.868242654238941,0.867298104197832,1.20683956160175,628,0.0805961124543519,0.0896050600641111,0.00263075293482854,0.143929432249911,0.113753170732002,0.0268332565958,0.0442607568494406,0.0322602498907681,0.00314828323812319
20,13,0.90951410256841,0.894591256251585,1.22151089185975,605,0.102044040382629,0.0942933600650452,0.00725487011978909,0.150465262365589,0.197177536032702,0.0559413516722618,0.0380025489204479,0.0494750256443754,0.00146819451467398
20,14,0.950216092343351,0.949235834740528,1.25023872891517,585,0.0779547772485307,0.112238885338527,0.00198626264911092,0.119439507599757,0.18204417810251,0.00384824711716962,0.0353864674386712,0.0519956668273137,0.000320876831304322
20,15,0.979499060635231,0.978511709782037,1.26605988460624,571,0.0787601670163428,0.0990147407844997,0.00229373203527867,0.119947997782445,0.0991057569240929,0.00510802003096593,0.0341792611983086,0.0306443977665911,0.000412787680669056
20,2,0.025377475299855,0.025568307988072,0.776097648128225,2025,0.0311735853285457,0.192813432968799,0.000159718562196166,0.072089925679749,0.193894945856057,0.000840193479789651,0.0165637903291392,0.0479225972995537,1.95961407028827e-05
20,3,0.0875267245687473,0.0887402562174258,0.808556156623209,1950,0.0639455225707195,0.182642674132498,0.00116077084415663,0.162142704400027,0.183307258525024,0.0104576140771776,0.0352164898022934,0.0452880782099359,0.000302351201103051
20,4,0.185949160935282,0.171131005811609,0.847359165564109,1688,0.0856358893424017,0.17445231340338,0.00217471626709367,0.201374260645245,0.172582234172198,0.0124241120042592,0.0461319578761577,0.0442470795312567,0.000463480627420051
20,5,0.308497923794501,0.314726140152173,0.918720265793538,1383,0.116434349384589,0.172486748059276,0.00516046992734023,0.225173422377569,0.168773401061202,0.0215516362896327,0.0547028060431869,0.0446619700157802,0.00117186258977088
20,6,0.441604564668014,0.43009798789631,0.979101115689424,1134,0.133062089390732,0.145854518868544,0.00802188358754657,0.245431029039715,0.141570304842921,0.0212528279619305,0.0586114436902041,0.0371685561620246,0.000904383499140795
20,7,0.553319210367745,0.547237442788651,1.04043260770272,965,0.121631227427065,0.134385700021766,0.00514617983821082,0.290227922685415,0.129019522151724,0.0519201262560758,0.0706008495824424,0.034199030231125,0.00202749457050007
20,8,0.633123855177275,0.642427148014105,1.08703241721994,844,0.116341650970566,0.106060802568,0.00341371525078673,0.229311612526174,0.132182352636779,0.0436783251011445,0.0580582210687097,0.0373023087137531,0.0011932593679784
20,9,0.700672651370926,0.696866784133655,1.11657406429464,761,0.108569291020552,0.102172898274328,0.00317832513659012,0.201583912609354,0.105584080187356,0.0169264176916938,0.0540632020305123,0.0294145271940819,0.00103067785727952
60,1,-0.0247242798353909,-0.0245585386503119,0.753609323594066,2025,0.00272856471286101,0.205733856913932,8.52851824402496e-07,0.0116858947581015,0.204093999976072,3.91969717949612e-06,0.00266540747471358,0.0488147597452369,3.63735159628232e-07
60,10,0.628259320767034,0.633820356151691,1.08224155606663,1142,0.0910719064957332,0.0947832392410625,0.00420998563002522,0.156059520867667,0.100863105871766,0.012608150645395,0.0423678993480536,0.0294072591241168,0.000764994522269079
