"n.pop0","bottleneck","gen","nbar","nvar","pext","sig.e"
20,FALSE,11,20.2378472222222,3130.88072161839,0.723958333333333,0.2
20,FALSE,12,30.6770833333333,8236.00684782617,0.729166666666667,0.2
20,FALSE,13,48.1371527777778,22261.1968085749,0.737847222222222,0.2
20,FALSE,14,76.4756944444444,61045.4707125605,0.741319444444444,0.2
20,FALSE,15,124.852430555556,173286.178185387,0.746527777777778,0.2
20,TRUE,1,20.1736111111111,4.49154589371983,0,0.2
20,TRUE,2,12.0069444444444,46.6538647342994,0,0.2
20,TRUE,3,8.40104166666667,65.0649728260869,0.0868055555555556,0.2
20,TRUE,4,6.68229166666667,82.9754076086959,0.321180555555556,0.2
20,TRUE,5,5.86631944444444,108.672533212561,0.491319444444444,0.2
20,TRUE,6,5.48263888888889,138.705785024154,0.625,0.2
20,TRUE,7,5.71180555555556,203.182886473432,0.677083333333333,0.2
20,TRUE,8,6.36111111111111,303.003285024154,0.727430555555556,0.2
20,TRUE,9,7.58506944444444,550.952750603863,0.765625,0.2
20,TRUE,10,8.69097222222222,885.855640096622,0.777777777777778,0.2
20,TRUE,11,10.9201388888889,1679.26665458937,0.803819444444444,0.2
20,TRUE,12,14.1041666666667,3262.59434782605,0.809027777777778,0.2
20,TRUE,13,18.5954861111111,6781.28477958944,0.814236111111111,0.2
20,TRUE,14,25.5625,15492.1839130435,0.824652777777778,0.2
20,TRUE,15,35.7256944444444,35079.2567995165,0.826388888888889,0.2
50,FALSE,1,50,0,0,0.2
50,FALSE,2,30.6545138888889,58.4978230676328,0,0.2
50,FALSE,3,21.6684027777778,84.5455042270532,0,0.2
50,FALSE,4,16.8263888888889,107.402850241546,0.00868055555555556,0.2
50,FALSE,5,14.9322916666667,150.790190217391,0.0520833333333333,0.2
50,FALSE,6,14.3958333333333,234.110869565217,0.152777777777778,0.2
50,FALSE,7,14.9027777777778,368.484444444443,0.239583333333333,0.2
50,FALSE,8,17.234375,672.499755434783,0.331597222222222,0.2
50,FALSE,9,22.2013888888889,1439.15937198068,0.376736111111111,0.2
50,FALSE,10,29.1979166666667,3323.67206521737,0.418402777777778,0.2
50,FALSE,11,41.2881944444444,8659.39853864736,0.446180555555556,0.2
50,FALSE,12,60.7083333333333,23840.7252173915,0.463541666666667,0.2
50,FALSE,13,92.6545138888889,68740.1917361115,0.480902777777778,0.2
50,FALSE,14,144.772569444444,207918.245576693,0.496527777777778,0.2
50,FALSE,15,232.659722222222,652399.12227053,0.501736111111111,0.2
50,TRUE,1,49.8263888888889,8.66545893719807,0.00347222222222222,0.2
50,TRUE,2,28.8993055555556,173.047234299517,0.00347222222222222,0.2
50,TRUE,3,20.1059027777778,269.680939009661,0.015625,0.2
50,TRUE,4,15.3541666666667,332.709130434783,0.111111111111111,0.2
50,TRUE,5,13.6215277777778,424.739987922703,0.291666666666667,0.2
50,TRUE,6,12.6701388888889,537.682306763286,0.440972222222222,0.2
50,TRUE,7,13.1684027777778,734.32115640096,0.543402777777778,0.2
50,TRUE,8,14.46875,1159.67902173913,0.602430555555556,0.2
50,TRUE,9,16.3472222222222,1863.96966183574,0.65625,0.2
50,TRUE,10,20.3194444444444,3380.46473429949,0.680555555555556,0.2
50,TRUE,11,25.3368055555556,6384.48114734304,0.699652777777778,0.2
50,TRUE,12,33.453125,13519.597798913,0.715277777777778,0.2
50,TRUE,13,44.1076388888889,29999.0631763287,0.734375,0.2
50,TRUE,14,60.8767361111111,69988.4804317636,0.737847222222222,0.2
50,TRUE,15,85.46875,171597.592065217,0.753472222222222,0.2
