"n.pop0","bottleneck","gen","nbar","nvar","pext","sig.e"
20,TRUE,1,20.1736111111111,4.4915458937198,0,0
20,TRUE,2,11.4375,39.7282608695652,0,0
20,TRUE,3,8.22743055555556,64.1099245169082,0.0885416666666666,0
20,TRUE,4,6.421875,86.3243206521739,0.335069444444444,0
20,TRUE,5,5.74826388888889,132.83564915459,0.510416666666667,0
20,TRUE,6,5.609375,211.309755434783,0.630208333333333,0
20,TRUE,7,6.23263888888889,376.592741545893,0.715277777777778,0
20,TRUE,8,7.32465277777778,721.715286835748,0.741319444444444,0
20,TRUE,9,9.24652777777778,1562.55129227052,0.779513888888889,0
20,TRUE,10,12.0086805555556,3534.99644625605,0.802083333333333,0
20,TRUE,11,15.8784722222222,7884.6739009662,0.8125,0
20,TRUE,12,21.9201388888889,18379.437089372,0.824652777777778,0
20,TRUE,13,30.8871527777778,43654.1976781403,0.836805555555556,0
20,TRUE,14,45.7309027777778,110235.264852053,0.842013888888889,0
20,TRUE,15,67.9513888888889,277331.135024154,0.845486111111111,0
50,TRUE,1,49.8263888888889,8.66545893719807,0.00347222222222221,0
50,TRUE,2,28.796875,193.236929347826,0.00347222222222221,0
50,TRUE,3,19.9479166666667,310.950326086957,0.0208333333333334,0
50,TRUE,4,16.1788194444444,389.555794082126,0.119791666666667,0
50,TRUE,5,14.5642361111111,527.578475241547,0.286458333333333,0
50,TRUE,6,14.2378472222222,708.581591183572,0.416666666666667,0
50,TRUE,7,15.0572916666667,1046.08888586957,0.510416666666667,0
50,TRUE,8,16.8055555555556,1651.02299516908,0.586805555555556,0
50,TRUE,9,19.3958333333333,2706.94217391307,0.635416666666667,0
50,TRUE,10,23.640625,4678.92279891304,0.668402777777778,0
50,TRUE,11,30.0086805555556,8549.05209842997,0.690972222222222,0
50,TRUE,12,39.7430555555556,16749.2869082125,0.708333333333333,0
50,TRUE,13,53.4774305555556,33648.5768810385,0.730902777777778,0
50,TRUE,14,73.6041666666667,71262.3856521742,0.739583333333333,0
50,TRUE,15,103.788194444444,156732.288973429,0.748263888888889,0
20,FALSE,1,20,0,0,0
20,FALSE,2,12.2864583333333,24.2638858695653,0,0
