"trial","gen","sigma.a"
44,6,0.379221165279429
44,7,0.370834874260355
44,8,0.36463507450729
44,9,0.351298476454294
44,10,0.354480902777778
44,11,0.350264222266305
44,12,0.345887438016529
44,13,0.346060468801293
44,14,0.345360638177305
44,15,0.345453242014146
45,1,0.4894375
45,2,0.476859504132231
45,3,0.433333333333333
45,4,0.309375
46,1,0.4905
46,2,0.448177083333333
46,3,0.434645061728395
46,4,0.43059375
46,5,0.420058811174123
46,6,0.414046556122449
46,7,0.407047013354623
46,8,0.398866477272727
46,9,0.398933036188755
46,10,0.395317934471555
46,11,0.393563710887405
46,12,0.391715399499884
46,13,0.38988600036547
46,14,0.388244654292074
46,15,0.386692255476102
47,1,0.4868125
47,2,0.4725
47,3,0.470703125
47,4,0.461545138888889
47,5,0.448088842975207
47,6,0.439359861591695
47,7,0.423269896193772
47,8,0.42421875
47,9,0.396875
47,10,0.3736328125
47,11,0.370987654320988
47,12,0.36640625
47,13,0.33125
47,14,0.325
48,1,0.487375
48,2,0.453166666666667
48,3,0.395118343195266
48,4,0.415858725761773
48,5,0.371523668639053
48,6,0.348291015625
48,7,0.333653846153846
48,8,0.323724489795918
48,9,0.22578125
48,10,0.203
48,11,0.199652777777778
48,12,0.196875
48,13,0.184375
49,1,0.48775
49,2,0.444452662721893
49,3,0.4370361328125
49,4,0.419897959183673
49,5,0.41224
49,6,0.403082644628099
49,7,0.398372933884298
49,8,0.390723469084423
49,9,0.382471749030191
49,10,0.376136649801973
49,11,0.371622560484885
49,12,0.374476646010437
49,13,0.369750246377159
49,14,0.367936711455922
49,15,0.368606303126017
50,1,0.48553125
50,2,0.465235457063712
50,3,0.434710743801653
50,4,0.4111328125
50,5,0.290625
50,6,0.275
50,7,0.276
50,8,0.26640625
50,9,0.261224489795918
50,10,0.2623046875
50,11,0.2625
50,12,0.2625
50,13,0.2625
50,14,0.2625
50,15,0.2625
51,1,0.48475
51,2,0.465538194444444
51,3,0.38203125
52,1,0.48909375
52,2,0.47962962962963
52,3,0.4458984375
52,4,0.426128472222222
52,5,0.359722222222222
53,1,0.48609375
53,2,0.465663580246914
53,3,0.430130385487528
53,4,0.338946280991736
53,5,0.345555555555556
53,6,0.3206875
53,7,0.309796186719264
53,8,0.313485764676241
53,9,0.312778384570302
53,10,0.308276084710744
53,11,0.30689334953066
53,12,0.306282802576461
53,13,0.306016833121088
53,14,0.306323687520692
53,15,0.306305935501522
54,1,0.48775
54,2,0.471900826446281
54,3,0.42655325443787
54,4,0.365625
54,5,0.323828125
54,6,0.302662721893491
54,7,0.304668209876543
54,8,0.287037037037037
54,9,0.253890306122449
54,10,0.24238
54,11,0.245810249307479
54,12,0.254215976331361
54,13,0.262434895833333
54,14,0.265966796875
54,15,0.26689453125
55,1,0.48653125
55,2,0.454875
55,3,0.423222222222222
55,4,0.374556213017751
55,5,0.359722222222222
55,6,0.33515625
55,7,0.324
55,8,0.3135
55,9,0.3
56,1,0.49128125
56,2,0.477146814404432
56,3,0.460175619834711
56,4,0.446397569444444
56,5,0.440162037037037
56,6,0.420572916666667
56,7,0.42241124260355
56,8,0.3765625
57,1,0.4886875
57,2,0.482212370242215
57,3,0.470265625
57,4,0.459571428571429
57,5,0.457199121900826
57,6,0.442140108646446
57,7,0.440480083234245
57,8,0.434762033531639
57,9,0.4163515625
57,10,0.401429063360882
57,11,0.400377777777778
57,12,0.397830877913296
57,13,0.386994597905992
57,14,0.380986005610041
57,15,0.375780828402367
58,1,0.489
58,2,0.474376731301939
58,3,0.469270833333333
58,4,0.456652949245542
58,5,0.45662
58,6,0.420009566326531
58,7,0.399673008323425
58,8,0.402487831260141
58,9,0.388364197530864
58,10,0.37891975308642
58,11,0.378236887303475
58,12,0.375633704329585
58,13,0.372565321571381
58,14,0.372459963343549
58,15,0.369864950786101
59,1,0.4878125
59,2,0.473140138408304
59,3,0.4322265625
59,4,0.427734375
59,5,0.390816326530612
59,6,0.3697265625
59,7,0.33984375
60,1,0.4865
60,2,0.4205078125
60,3,0.366326530612245
60,4,0.328920118343195
60,5,0.301273148148148
60,6,0.313075279421433
60,7,0.302820987654321
60,8,0.302428752566115
60,9,0.301538531775018
60,10,0.301232063585625
60,11,0.30077779099301
60,12,0.299081003175184
60,13,0.299080925894025
60,14,0.297232421900455
60,15,0.295554311094339
61,1,0.48571875
61,2,0.469240702479339
61,3,0.4265
61,4,0.434602076124567
61,5,0.400771604938272
61,6,0.360763888888889
61,7,0.3
62,1,0.48940625
62,2,0.468509070294785
62,3,0.439322916666667
62,4,0.394444444444444
62,5,0.281944444444444
62,6,0.259722222222222
63,1,0.48975
63,2,0.47651384083045
63,3,0.452032871972318
63,4,0.420216049382716
63,5,0.355555555555556
63,6,0.277777777777778
64,1,0.4889375
64,2,0.461980609418283
64,3,0.453163580246914
64,4,0.448583984375
64,5,0.439626736111111
64,6,0.427556610664719
64,7,0.418891776937618
64,8,0.418758977305372
64,9,0.412973075259516
64,10,0.405986856760971
64,11,0.405725758477097
64,12,0.400052631578947
64,13,0.400018518518518
64,14,0.400709654662725
64,15,0.402118500430911
65,1,0.48525
65,2,0.46101108033241
65,3,0.429648760330579
65,4,0.346513605442177
65,5,0.357963510848126
65,6,0.350529583637692
65,7,0.348277512765386
65,8,0.34356784925623
65,9,0.336457050887453
65,10,0.335596330546107
65,11,0.332795363511815
65,12,0.331441945495231
65,13,0.331634589035712
65,14,0.331187856595438
65,15,0.330489802254872
66,1,0.48275
66,2,0.4255
66,3,0.2625
67,1,0.489
67,2,0.469860537190083
67,3,0.449617346938775
67,4,0.4150390625
67,5,0.357638888888889
67,6,0.309722222222222
67,7,0.278125
67,8,0.25
68,1,0.48840625
68,2,0.471799307958478
68,3,0.462413494809689
68,4,0.4215
68,5,0.3849609375
68,6,0.38173828125
68,7,0.373291015625
68,8,0.370663265306122
68,9,0.339814814814815
68,10,0.330357142857143
68,11,0.334
68,12,0.308418367346939
68,13,0.290625
68,14,0.2875
69,1,0.4838125
69,2,0.475206611570248
69,3,0.466964285714286
69,4,0.408203125
69,5,0.394748520710059
69,6,0.369444444444444
69,7,0.362309027777778
69,8,0.348075709115394
69,9,0.342918798334325
69,10,0.335200591522717
69,11,0.336303018667297
69,12,0.334744543557446
69,13,0.333426370009666
69,14,0.332746875650364
69,15,0.332596856622887
70,1,0.49175
70,2,0.46484375
70,3,0.424625
70,4,0.376
70,5,0.34
71,1,0.48840625
71,2,0.469333910034602
71,3,0.43190625
71,4,0.400878099173554
71,5,0.389058171745152
71,6,0.358341209829868
71,7,0.361214416896235
71,8,0.35207451548229
71,9,0.352807545014781
71,10,0.356756352381929
71,11,0.354411114590433
71,12,0.354236322714681
71,13,0.353146888046376
71,14,0.351216700832252
71,15,0.350253899215866
72,1,0.49203125
72,2,0.46274
72,3,0.4536
72,4,0.453849480968858
72,5,0.44559053069719
72,6,0.444138723634397
72,7,0.430369801512287
72,8,0.4113525390625
72,9,0.413364223240317
72,10,0.407336956521739
72,11,0.408737107394674
72,12,0.405619679293725
72,13,0.40777306122449
72,14,0.405158649564905
72,15,0.402384767787425
73,1,0.48815625
73,2,0.433420138888889
73,3,0.3855
73,4,0.275
74,1,0.48825
74,2,0.447222222222222
74,3,0.374537037037037
74,4,0.3306640625
74,5,0.312603305785124
74,6,0.3005
74,7,0.294921875
74,8,0.293622448979592
74,9,0.279081632653061
74,10,0.270727040816327
74,11,0.2630859375
74,12,0.250369822485207
74,13,0.249926035502959
74,14,0.258641975308642
74,15,0.2375
75,1,0.48728125
75,2,0.438818359375
75,3,0.425897920604915
75,4,0.416736669101534
75,5,0.421216049382716
75,6,0.421091111111111
75,7,0.418292159763314
75,8,0.416074557448015
75,9,0.415478293559587
75,10,0.41434324054804
75,11,0.411287925648417
75,12,0.409840310039611
75,13,0.407540393879483
75,14,0.404645946085921
75,15,0.403719043837468
76,1,0.487
76,2,0.480011094674556
76,3,0.463302951388889
76,4,0.443178670360111
76,5,0.42332
76,6,0.397902494331066
76,7,0.395875
76,8,0.38694
76,9,0.383841463414634
76,10,0.38109050094518
76,11,0.378377914951989
76,12,0.369823771345273
76,13,0.370355301631271
76,14,0.369019142241128
76,15,0.364844706019463
77,1,0.489125
77,2,0.470333333333333
77,3,0.4236328125
77,4,0.36820987654321
77,5,0.353402366863905
77,6,0.316580578512397
77,7,0.305516581632653
77,8,0.291099605522682
77,9,0.294089003944773
77,10,0.288221736495845
77,11,0.284629354671556
77,12,0.28691841457124
77,13,0.285948780145706
77,14,0.285838814464818
77,15,0.285111260729647
78,1,0.4886875
78,2,0.463165680473373
78,3,0.418359375
78,4,0.4195
78,5,0.374793388429752
78,6,0.349609375
78,7,0.339583333333333
78,8,0.322222222222222
79,1,0.4870625
79,2,0.474102079395085
79,3,0.459522928994083
79,4,0.450548696844993
79,5,0.432860110803324
79,6,0.423258131377551
79,7,0.40429579239103
79,8,0.407868916797488
79,9,0.40443072702332
79,10,0.399611839209741
79,11,0.395402392172579
79,12,0.395609665857325
79,13,0.39819909198227
79,14,0.399187391344672
79,15,0.398102118175702
80,1,0.4861875
80,2,0.462222222222222
80,3,0.450221893491124
80,4,0.432920030757401
80,5,0.431407505478451
80,6,0.431510981242341
80,7,0.43047900390625
80,8,0.428388756692445
80,9,0.425899269511726
80,10,0.422285411660061
80,11,0.418249344676433
80,12,0.414064475149632
80,13,0.41076318818094
80,14,0.409929144988428
80,15,0.408980970502971
81,1,0.4850625
81,2,0.474485596707819
81,3,0.47278
81,4,0.460119047619048
81,5,0.444896193771626
81,6,0.424031190926276
81,7,0.416893424036281
81,8,0.399652777777778
81,9,0.383279418945312
81,10,0.379054556517036
81,11,0.379883832374909
81,12,0.38135247482736
81,13,0.377982247923032
81,14,0.377193805215848
81,15,0.376276793922679
82,1,0.48525
82,2,0.450125
82,3,0.426342975206612
82,4,0.390625
82,5,0.372705078125
82,6,0.3388671875
82,7,0.330083829096809
82,8,0.324496103198065
82,9,0.330216409036861
82,10,0.333349342861247
82,11,0.332188999242488
82,12,0.328163843755072
82,13,0.326052746797126
82,14,0.325582924260626
82,15,0.324799850816425
83,1,0.48815625
83,2,0.466927083333333
83,3,0.449307958477509
83,4,0.424896694214876
83,5,0.387586805555556
83,6,0.385318559556787
83,7,0.390290178571429
83,8,0.385078770661157
83,9,0.384509611961552
83,10,0.369487700853005
83,11,0.367503123698459
83,12,0.361837867663619
83,13,0.357774653979239
83,14,0.354220803648798
83,15,0.352339136817015
84,1,0.48390625
84,2,0.4610625
84,3,0.387654320987654
84,4,0.306597222222222
84,5,0.256944444444444
84,6,0.267283950617284
84,7,0.264969135802469
84,8,0.261673553719008
84,9,0.248611111111111
84,10,0.2515625
84,11,0.245746527777778
84,12,0.244791666666667
84,13,0.240625
84,14,0.225
85,1,0.4878125
85,2,0.45975
85,3,0.413541666666667
85,4,0.361111111111111
85,5,0.3384765625
85,6,0.302125
85,7,0.307851239669422
85,8,0.30703125
85,9,0.302333333333333
85,10,0.288010204081633
85,11,0.276736111111111
85,12,0.263979289940828
85,13,0.249744897959184
85,14,0.2517578125
85,15,0.245703125
86,1,0.48821875
86,2,0.460331632653061
86,3,0.457231404958678
86,4,0.433136094674556
86,5,0.414467592592593
86,6,0.400102880658436
86,7,0.393250868055556
86,8,0.39275969756739
86,9,0.390699649353495
86,10,0.392070704021253
86,11,0.390396568293137
86,12,0.38859033203125
86,13,0.391792916493628
86,14,0.389710358015969
86,15,0.386996024560323
87,1,0.48415625
87,2,0.466847826086957
87,3,0.453373015873016
87,4,0.43596
87,5,0.439109375
87,6,0.430265306122449
87,7,0.412777176852353
87,8,0.40940373174689
87,9,0.400721296847115
87,10,0.392665289256198
87,11,0.385164835164835
87,12,0.372460017597433
87,13,0.371565217391304
87,14,0.37380804869394
87,15,0.373739215738379
88,1,0.49028125
88,2,0.48213296398892
88,3,0.450771604938272
88,4,0.3828125
88,5,0.1875
89,1,0.48825
89,2,0.472569444444444
89,3,0.415234375
89,4,0.33469387755102
89,5,0.327875
89,6,0.324652777777778
89,7,0.319921875
89,8,0.309722222222222
89,9,0.302125
89,10,0.314423076923077
89,11,0.3109375
89,12,0.2995
89,13,0.294444444444444
89,14,0.294008875739645
89,15,0.293810013717421
90,1,0.48921875
90,2,0.467013888888889
90,3,0.434521484375
90,4,0.433780991735537
90,5,0.419730029585799
90,6,0.401530612244898
90,7,0.399283316115703
90,8,0.398896410831597
90,9,0.400078961058264
90,10,0.394846579073866
90,11,0.389447505356596
90,12,0.385168231235849
90,13,0.382626582869087
90,14,0.379414279138078
90,15,0.377684604644983
91,1,0.48578125
91,2,0.441635160680529
91,3,0.434402777777778
91,4,0.432049947970864
91,5,0.422826086956522
91,6,0.406298353501289
91,7,0.403759637188209
91,8,0.395430473372781
91,9,0.387064753416199
91,10,0.38722900390625
91,11,0.387672240048236
91,12,0.38723693831274
91,13,0.385276120848548
91,14,0.382972336089661
91,15,0.381838845470093
92,1,0.4893125
92,2,0.468052930056711
92,3,0.451833545918367
92,4,0.43416955017301
92,5,0.41094
92,6,0.375611111111111
92,7,0.353713151927438
92,8,0.331490384615385
92,9,0.322528698979592
92,10,0.307301311728395
92,11,0.288796768707483
92,12,0.293570849107626
92,13,0.292807418133215
92,14,0.290203125
92,15,0.285242798353909
93,1,0.486875
93,2,0.443402777777778
94,1,0.48765625
94,2,0.469708333333333
94,3,0.461771700356718
94,4,0.44678125
94,5,0.428460207612457
94,6,0.405
94,7,0.351405325443787
94,8,0.322959183673469
95,1,0.486375
95,2,0.475555555555556
95,3,0.451124567474048
95,4,0.424630177514793
95,5,0.407544378698225
95,6,0.382833333333333
95,7,0.35125
95,8,0.1875
96,1,0.4886875
96,2,0.473524305555556
96,3,0.451701183431953
96,4,0.435596885813149
96,5,0.450073964497041
96,6,0.430165289256198
96,7,0.400244140625
96,8,0.36
96,9,0.357958984375
96,10,0.32890625
96,11,0.31464
96,12,0.305588585017836
96,13,0.292555555555556
96,14,0.279665814463112
96,15,0.28386649408284
97,1,0.47971875
97,2,0.463492063492064
97,3,0.432703993055556
97,4,0.386764705882353
97,5,0.383111149584488
97,6,0.372353490376329
97,7,0.372669163223141
97,8,0.367409465020576
97,9,0.360621199402142
97,10,0.365865502876413
97,11,0.36314967687837
97,12,0.362683332636776
97,13,0.363078153363484
97,14,0.36118642600607
97,15,0.36062801985545
98,1,0.48378125
98,2,0.480222222222222
98,3,0.460763888888889
98,4,0.425103305785124
98,5,0.410950413223141
98,6,0.407421875
98,7,0.297222222222222
98,8,0.30078125
98,9,0.3
99,1,0.49190625
99,2,0.460763888888889
99,3,0.421045918367347
99,4,0.402587890625
99,5,0.3375
99,6,0.316923868312757
99,7,0.319633058984911
99,8,0.2953125
99,9,0.281453125
99,10,0.268796724813101
99,11,0.265544981089962
99,12,0.260520792338974
99,13,0.256834194214876
99,14,0.256656837313164
99,15,0.255460906909128
100,1,0.48909375
100,2,0.475277777777778
100,3,0.473722222222222
100,4,0.451375
100,5,0.39609375
100,6,0.3915
100,7,0.3375
101,1,0.48771875
101,2,0.470674740484429
101,3,0.444290657439446
101,4,0.427777777777778
101,5,0.419
101,6,0.3125
101,7,0.3091796875
101,8,0.271875
101,9,0.225
102,1,0.484875
102,2,0.46640625
102,3,0.45087890625
102,4,0.435976454293629
102,5,0.363
102,6,0.349
102,7,0.323243801652893
102,8,0.31146694214876
102,9,0.289969135802469
102,10,0.28625
102,11,0.289814814814815
102,12,0.2745
102,13,0.252777777777778
102,14,0.2375
103,1,0.48971875
103,2,0.465512465373961
103,3,0.443166089965398
103,4,0.429
103,5,0.393686224489796
103,6,0.390178571428571
103,7,0.352040816326531
103,8,0.313888888888889
103,9,0.25625
103,10,0.2375
104,1,0.49378125
104,2,0.480332647462277
104,3,0.473771266540643
104,4,0.457544581618656
104,5,0.438520408163265
104,6,0.424993239588967
104,7,0.413102040816327
104,8,0.40090027700831
104,9,0.391835217132659
104,10,0.385422092013889
104,11,0.38081787109375
104,12,0.377082758181316
104,13,0.377534031588173
104,14,0.372141249733435
104,15,0.368721899144359
105,1,0.490625
105,2,0.455325443786982
105,3,0.444809688581315
105,4,0.42752
105,5,0.418877551020408
105,6,0.405810950413223
105,7,0.385272491349481
105,8,0.371139805300162
105,9,0.362369822485207
105,10,0.349254918981481
105,11,0.343843895972731
105,12,0.341663216189638
105,13,0.342335029128299
105,14,0.342179249264197
105,15,0.341006597435085
106,1,0.4868125
106,2,0.47454
106,3,0.434615384615385
106,4,0.419452662721893
106,5,0.434619140625
106,6,0.429570637119114
106,7,0.4175
106,8,0.40060553633218
106,9,0.386905991735537
106,10,0.372231833910035
106,11,0.36218820861678
106,12,0.359828514739229
106,13,0.33852157943067
106,14,0.33078691184424
106,15,0.324445266272189
107,1,0.48340625
107,2,0.464172335600907
107,3,0.4195
107,4,0.392708333333333
107,5,0.375309917355372
107,6,0.351611111111111
107,7,0.326951092611863
107,8,0.329065021580034
107,9,0.3256704
107,10,0.328428036260688
107,11,0.324172048386304
107,12,0.320750213854446
107,13,0.319117880156307
107,14,0.317448484884715
107,15,0.316576643977748
108,1,0.4915
108,2,0.474315828402367
108,3,0.47637741046832
108,4,0.456353878116343
108,5,0.441604699583581
