"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
12,6,4,-0.3,-0.465038094832976,0.564754837422843,2,100,0,FALSE,2,1
13,1,20,-0.51,-0.646982039073688,0.481289502235071,2,20,0.0035,TRUE,2,1
13,2,7,0.0285714285714286,-0.318084865382267,0.618067965500653,2,20,0.0035,TRUE,2,1
13,3,4,0.15,0.0835865680236151,0.763608920937763,2,20,0.0035,TRUE,2,1
13,4,4,0.25,0.641105131737617,1.05903978992754,2,20,0.0035,TRUE,2,1
14,1,100,-0.782,-0.668209449828515,0.449018011826532,2,100,0.0035,TRUE,2,1
14,2,35,-0.697142857142857,-0.533959363132885,0.517921616677761,2,100,0.0035,TRUE,2,1
14,3,10,-0.64,-0.491639404355617,0.593013331542899,2,100,0.0035,TRUE,2,1
14,4,10,-0.44,-0.705308546185424,0.406953244185285,2,100,0.0035,TRUE,2,1
14,5,2,-0.7,-0.0429828556799632,0.671668479697566,2,100,0.0035,TRUE,2,1
15,1,20,-0.92,-0.700648587456407,0.476118694625003,2,20,0.0035,FALSE,2,1
15,2,1,0.2,0.00195769867778775,0.681526786009091,2,20,0.0035,FALSE,2,1
16,1,100,-0.956,-0.880631944203897,0.366511688265379,2,100,0.0035,FALSE,2,1
16,2,33,0.133333333333333,0.0730963366636803,0.78942885255151,2,100,0.0035,FALSE,2,1
16,3,19,-0.2,-0.122644326605953,0.670694695923502,2,100,0.0035,FALSE,2,1
16,4,5,0.12,0.275029671602091,0.900019629174474,2,100,0.0035,FALSE,2,1
17,1,20,2.78030094606752e-18,0.0645213627948502,0.780210598953948,3,20,0,TRUE,3,1
17,2,17,0.105882352941176,0.291200910812247,0.886404082628821,3,20,0,TRUE,3,1
17,3,18,0.3,0.328863021735493,0.908513089212771,3,20,0,TRUE,3,1
17,4,18,0.644444444444444,0.55984358379315,1.03874617753616,3,20,0,TRUE,3,1
17,5,3,0.733333333333333,0.735056010621023,1.11883802248019,3,20,0,TRUE,3,1
17,6,8,0.825,1.19910812454006,1.41041220246515,3,20,0,TRUE,3,1
17,7,18,0.888888888888889,0.992381789256209,1.26783729403331,3,20,0,TRUE,3,1
17,8,20,0.85,0.803286950914775,1.1675751682944,3,20,0,TRUE,3,1
17,9,33,0.915151515151515,0.832461748119071,1.17613139787971,3,20,0,TRUE,3,1
17,10,37,0.978378378378378,1.05020043755366,1.29512024391968,3,20,0,TRUE,3,1
17,11,36,1.01111111111111,1.18046762877297,1.32973659267401,3,20,0,TRUE,3,1
17,12,58,0.941379310344828,0.918105377274811,1.22318194639219,3,20,0,TRUE,3,1
17,13,59,0.861016949152542,0.930749616626387,1.23504647844208,3,20,0,TRUE,3,1
17,14,88,0.875,0.861109465380882,1.17807921215921,3,20,0,TRUE,3,1
17,15,114,0.885964912280702,0.89861915710586,1.21632188002134,3,20,0,TRUE,3,1
18,1,100,-0.26,-0.346494234031445,0.600296544705431,3,100,0,TRUE,3,1
18,2,66,-0.206060606060606,-0.171836937155382,0.666093891369714,3,100,0,TRUE,3,1
18,3,53,-0.105660377358491,-0.0405585590837878,0.722821452376202,3,100,0,TRUE,3,1
18,4,33,-0.0424242424242424,0.00785391348863914,0.761347310219336,3,100,0,TRUE,3,1
