"n.pop0","extinct","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,FALSE,1,0.0536320191158901,0.0238863141888609,0.06816104131478,0.0472408957047671,0.805375618948791,0.0109379261577488,837
20,FALSE,2,0.189473846757909,0.03463002728094,0.207593872326713,0.0717805877737941,0.861699282772409,0.0186463438817421,837
20,FALSE,3,0.315490465462371,0.0543213887261705,0.33954990250908,0.0953116541664255,0.928582716109993,0.0258649169617693,837
20,FALSE,4,0.432141292824756,0.0738838056310606,0.458214231840176,0.108322099970104,0.991942738474956,0.0301638187440058,837
20,FALSE,5,0.526498156309108,0.0821744050815546,0.530759034714763,0.122871105194582,1.02955879698069,0.0350559275400093,837
20,FALSE,6,0.602851556269911,0.0878829496791894,0.616023152995573,0.124825914611038,1.07338462916328,0.0365905616546762,837
20,FALSE,7,0.677525258403048,0.0923154462072797,0.699313116305195,0.129657759012375,1.11817668708746,0.0374206030052719,837
20,FALSE,8,0.731491190847814,0.0964684872043325,0.749293411720295,0.125878405555583,1.14422151368217,0.0358855832890273,837
20,FALSE,9,0.775270923299618,0.10114352559554,0.781979717085676,0.130929267650572,1.16224883662166,0.0376119059098564,837
20,FALSE,10,0.805846928975373,0.107749909481441,0.79889152263176,0.14074684355615,1.17151578057787,0.0405015269476553,837
20,FALSE,11,0.838059424085887,0.114741007255368,0.839433146565726,0.142969160591051,1.19277778863802,0.0406893241974045,837
20,FALSE,12,0.872306238685581,0.118397146721531,0.879957319249885,0.140905634089084,1.21425044047788,0.0403899924186531,837
20,FALSE,13,0.900235851601218,0.123361547293388,0.906816640202891,0.150529432384881,1.22836481039762,0.0430447406021432,837
20,FALSE,14,0.920436365164401,0.132197499609174,0.925105340289675,0.163782026061482,1.23828035853029,0.0461234833464174,837
20,FALSE,15,0.93863628239274,0.139141457043518,0.94017832023106,0.175138694264873,1.24624111742289,0.0502286265005215,837
20,TRUE,1,-0.0120486879544736,0.0238708806141858,-0.0201111234811939,0.0509728636061496,0.763145232379681,0.0112442775369825,3163
20,TRUE,2,0.0338682449296068,0.0416347411911144,0.0335210220310205,0.0852029355723297,0.774052019925392,0.0206993744429595,3162
20,TRUE,3,0.0725761907877781,0.0842345722763392,0.0658387368501383,0.166201948266725,0.789797219355064,0.041156812525664,3078
20,TRUE,4,0.109304587136986,0.118018282323473,0.0973442502439887,0.239195318794786,0.805914223201466,0.0593291717168403,2700
20,TRUE,5,0.155513236542848,0.143195661208074,0.146253673584456,0.281710200677868,0.830614915036571,0.0697784507091108,2120
20,TRUE,6,0.199229071953389,0.150088684828402,0.180715332744359,0.301289557921273,0.848022982714222,0.0758908342466819,1559
20,TRUE,7,0.236346607730658,0.156199068868986,0.226159591875789,0.291989939120389,0.868012101423071,0.0773485727889419,1140
20,TRUE,8,0.28519787599843,0.166262156579298,0.263603671758616,0.315900984797853,0.889877248422729,0.0843072840162141,787
20,TRUE,9,0.329265787526161,0.176290197322834,0.326041180448641,0.318257404316601,0.920385487043776,0.0861059447976796,568
20,TRUE,10,0.361691320705967,0.186482795393157,0.334599194679166,0.311149079885363,0.924239106020896,0.0868351062326737,390
20,TRUE,11,0.382380791785922,0.184313154081902,0.363973817585066,0.329675471768099,0.939542209226715,0.092185459878859,259
20,TRUE,12,0.420216434129478,0.196919598033441,0.339645735026557,0.379786110998737,0.929234149246883,0.106793521336679,162
20,TRUE,13,0.429465949275638,0.203871023519258,0.360500870491472,0.476660024470817,0.944811458163368,0.125438258762769,102
20,TRUE,14,0.448637873754153,0.19052347026666,0.408114209668158,0.53845284256776,0.969383302044654,0.146302182080944,43
60,FALSE,1,0.00867647058823529,0.00860287500156809,0.0119464654497417,0.0169464924451765,0.778924132362274,0.00387707364919447,1564
