"n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,0.24,0.24,0.253434484434447,6.45202002494359e-06,4001
20,2,0.24074,0.24058,0.237509232831449,0.000151103916793343,4000
20,3,0.251226993865031,0.248926380368098,0.21461566311137,0.000793779189627148,3912
20,4,0.27044406970208,0.262001124227094,0.192012935316625,0.00135009664931118,3558
20,5,0.293088725817211,0.275410273515677,0.172349544735918,0.00172216677486767,2998
20,6,0.309078838174274,0.281510373443983,0.159631829243764,0.00181429612686938,2410
20,7,0.32607853136155,0.287159612442631,0.148271672706109,0.00181642471391715,1961
20,8,0.34,0.289215442092154,0.139462259570191,0.00188455789120807,1606
20,9,0.353382352941176,0.290088235294118,0.132016659487354,0.00180527507120544,1360
20,10,0.367152542372881,0.290881355932203,0.125434406745208,0.00183355884486164,1180
20,11,0.377629063097514,0.289177820267686,0.120296764626335,0.00174284789650772,1046
20,12,0.384763903462749,0.290073452256034,0.115429234571546,0.00172783599837845,953
20,13,0.395484606613455,0.28903078677309,0.110373872431144,0.00165536265346899,877
20,14,0.402230303030303,0.28969696969697,0.106587057168213,0.00164361374349596,825
20,15,0.409432989690722,0.287371134020619,0.103981527735191,0.00156364757859857,776
60,1,0.24,0.24,0.257834121030258,6.92216298022866e-07,3999
60,2,0.24,0.24,0.252141218457842,1.1839451023089e-05,3999
60,3,0.240060015003751,0.240040010002501,0.24291713054574,7.01340518303671e-05,3999
60,4,0.242265664160401,0.241694235588972,0.229558566980376,0.000309587458974972,3990
60,5,0.250764525993884,0.246931702344546,0.212960758622853,0.000730898282475826,3924
60,6,0.2643669527897,0.25337982832618,0.196645884833639,0.00112956811772241,3728
60,7,0.279905241338466,0.261083802191294,0.181645689152109,0.0014107156658548,3377
60,8,0.295630810092961,0.266042496679947,0.169295148420999,0.00152192803197329,3012
60,9,0.309940209267564,0.268789237668161,0.159510045340912,0.00165625044085515,2676
60,10,0.32342762063228,0.270499168053245,0.151066785486082,0.00170748222093372,2404
60,11,0.335380359612725,0.272955278930383,0.143256017724744,0.00170812949815533,2169
60,12,0.345861027190332,0.272849949647533,0.136917733382171,0.00163826761988523,1986
60,13,0.355565170362358,0.275175770686858,0.131112557036372,0.00158859941161874,1849
60,14,0.366127167630058,0.276300578034682,0.1256532393316,0.0015717478375468,1730
60,15,0.374966319657073,0.27786895284752,0.120288978505678,0.00162464382715016,1633
