"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,14.398125,32.7662172615325,1
20,3,10.824375,43.3009434773108,0.97825
20,4,8.595875,50.2363375265646,0.88575
20,5,7.076875,56.1319817320927,0.74725
20,6,6.11475,63.8495636329572,0.615
20,7,5.554875,75.4231666302074,0.506625
20,8,5.332375,94.2336810695054,0.419125
20,9,5.38875,121.593822665322,0.35175
20,10,5.594625,154.878405910119,0.30725
20,11,5.892875,197.791623187265,0.27275
20,12,6.324125,247.97406474245,0.249625
20,13,6.800375,304.394574181116,0.23325
20,14,7.2755,361.319264658057,0.2185
20,15,7.9025,435.350662582886,0.20675
60,1,60,0,1
60,2,37.63575,80.1653426053256,1
60,3,25.939375,87.2761091230153,1
60,4,19.692125,92.1378552162734,0.998125
60,5,15.902875,98.4842522659056,0.980125
60,6,13.4825,110.58751718965,0.924625
60,7,11.954125,124.305308647958,0.842375
60,8,10.98725,144.728178459802,0.75075
60,9,10.4975,168.310282535325,0.6625
60,10,10.399875,202.347018361659,0.59025
60,11,10.7665,259.693439429918,0.537375
60,12,11.2965,326.871946743308,0.491375
60,13,12.0165,407.297639954987,0.453
60,14,12.86675,494.617071571489,0.425625
60,15,13.816875,594.121105372584,0.405
