"n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,0,0,0.487449422366631,1.26825176137872e-05,4001
20,2,0.00091,0.00083,0.458400442887578,0.000356646630121857,4000
20,3,0.0161260803253686,0.013157092018302,0.418860355804922,0.00209198248677514,3934
20,4,0.0433662280701754,0.0322697368421053,0.382405093185465,0.00371065476578911,3648
20,5,0.0695352416128039,0.0471406586642044,0.354170146360639,0.00462149273849075,3249
20,6,0.0925833333333333,0.0575416666666667,0.33359720585895,0.0052445574301224,2880
20,7,0.110998043052838,0.0642035225048924,0.317582001694263,0.00568644778747111,2555
20,8,0.124240588489831,0.066845521419299,0.305721561655826,0.00593132762498381,2311
20,9,0.133578500707214,0.0664969354078265,0.296985661999255,0.00596658628852651,2121
20,10,0.145496259351621,0.0672319201995012,0.288511529634497,0.00630647638956805,2005
20,11,0.15202088772846,0.0679060052219321,0.28270017673895,0.00635394881359138,1915
20,12,0.157256396298312,0.0673053892215569,0.278302661991831,0.00645906223900799,1837
20,13,0.159146546883773,0.064727681078046,0.275983306395947,0.00630261906269894,1781
20,14,0.163623931623932,0.0658917378917379,0.271927689285467,0.00651443196452716,1755
20,15,0.165813549507817,0.0647365373480023,0.269793501950623,0.00646488321786331,1727
60,1,0,0,0.495858232613709,1.37064021544421e-06,3999
60,2,0,0,0.486382501660542,1.94533826501893e-05,3999
60,3,0,0,0.47355926618536,9.53584105526472e-05,3999
60,4,0.000470235117558779,0.000240120060030015,0.458058982212366,0.000308959827707328,3998
60,5,0.00375563345017526,0.00242363545317977,0.440138659745676,0.000905953644605204,3994
60,6,0.0106396965865992,0.00651327433628319,0.421726636733118,0.00168541484129945,3955
60,7,0.0191277419354839,0.0111483870967742,0.405565686618751,0.00241398523452499,3875
60,8,0.0283734461782597,0.0154456492991272,0.391072446749855,0.00311747335932601,3781
60,9,0.0361135371179039,0.0178165938864629,0.379920576601296,0.00356537189631562,3664
60,10,0.0442217245240761,0.0204927211646137,0.370371843388681,0.00398010481327257,3572
60,11,0.0496449026345934,0.0216723940435281,0.362931878259271,0.00424438919575152,3492
60,12,0.0541690962099125,0.0229620991253644,0.356547903359801,0.00454423690470722,3430
60,13,0.0575881481481482,0.0237037037037037,0.351278456798618,0.00475932579315969,3375
60,14,0.0584346779048766,0.0220951234196267,0.348285734596303,0.00455650505793102,3322
60,15,0.0605589307411908,0.0221142162818955,0.344500269161229,0.00459469045934706,3292
