"n.pop0","gen","extinct","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,FALSE,0.24,0.24,0.253445969358534,6.55599118019887e-06,776
20,1,TRUE,0.24,0.24,0.253431720930233,6.42898881787755e-06,3225
20,2,FALSE,0.240154639175258,0.24,0.238866076685022,9.49225195317096e-05,776
20,2,TRUE,0.240880893300248,0.240719602977667,0.237182647586296,0.000164110179922212,3224
20,3,FALSE,0.24479381443299,0.241030927835052,0.221254445825433,0.000380934119439639,776
20,3,TRUE,0.25281887755102,0.250880102040816,0.212972903103043,0.000882482450600711,3136
20,4,FALSE,0.255979381443299,0.243041237113402,0.203664516073592,0.000658861624955965,776
20,4,TRUE,0.274478792235802,0.267289719626168,0.188762889785566,0.0014947648617855,2782
20,5,FALSE,0.272371134020619,0.246494845360825,0.187341981981187,0.000961441762673377,776
20,5,TRUE,0.30032403240324,0.285508550855086,0.167113662061602,0.00188243022432983,2222
20,6,FALSE,0.289175257731959,0.250979381443299,0.173477487446271,0.00114219572096042,776
20,6,TRUE,0.318531211750306,0.296009791921665,0.153056412618828,0.00200001772533109,1634
20,7,FALSE,0.307113402061856,0.255463917525773,0.161704128728274,0.00125960029787331,776
20,7,TRUE,0.338497890295359,0.307915611814346,0.139475397707627,0.00198673912312485,1185
20,8,FALSE,0.324484536082474,0.259690721649485,0.151673005572746,0.00135148216655652,776
20,8,TRUE,0.354506024096386,0.316819277108434,0.128045947644911,0.002115123799599,830
20,9,FALSE,0.340670103092784,0.264226804123711,0.143008811472831,0.00139691910124922,776
20,9,TRUE,0.37027397260274,0.324452054794521,0.117410649314872,0.00197668353421006,584
20,10,FALSE,0.354587628865979,0.268505154639175,0.135251787759371,0.00145340982609626,776
20,10,TRUE,0.391287128712871,0.333861386138614,0.106577259054637,0.00202710286471275,404
20,11,FALSE,0.367422680412371,0.271907216494845,0.127685799020784,0.00146454534791155,776
20,11,TRUE,0.406962962962963,0.338814814814815,0.099060132440808,0.00194095525694609,270
20,12,FALSE,0.376907216494845,0.276082474226804,0.121454394056562,0.00148087589394794,776
20,12,TRUE,0.419209039548023,0.351412429378531,0.0890138460948654,0.00196332102188764,177
20,13,FALSE,0.388556701030928,0.279587628865979,0.114834091575218,0.00150920660202749,776
20,13,TRUE,0.448712871287129,0.361584158415842,0.0761052580172689,0.0014641703801398,101
20,14,FALSE,0.397835051546392,0.282938144329897,0.10981833468986,0.00150763531649993,776
20,14,TRUE,0.471836734693878,0.396734693877551,0.0554141723356009,0.00103132240748614,49
20,15,FALSE,0.409432989690722,0.287371134020619,0.103981527735191,0.00156364757859857,776
60,1,FALSE,0.24,0.24,0.257835745390216,7.14141271281556e-07,1633
60,1,TRUE,0.24,0.24,0.257832999906077,6.77376288434726e-07,2366
60,2,FALSE,0.24,0.24,0.25207072481027,1.16790478354228e-05,1633
60,2,TRUE,0.24,0.24,0.252189872780109,1.19493459915998e-05,2366
60,3,FALSE,0.24,0.24,0.243408929219889,5.5994618333037e-05,1633
60,3,TRUE,0.240101437024514,0.240067624683009,0.242577693844605,7.9638541629813e-05,2366
60,4,FALSE,0.240881812614819,0.240097979179424,0.232113925397585,0.000174442945348216,1633
60,4,TRUE,0.243224437844718,0.242800169707255,0.22778813834427,0.000395671650666673,2357
60,5,FALSE,0.244629516227802,0.240832823025107,0.219052100090003,0.000374283555691323,1633
60,5,TRUE,0.255137494543867,0.251278917503274,0.208618916363641,0.000940044823145664,2291
60,6,FALSE,0.2516595223515,0.242327005511329,0.205591653807819,0.000619407285809104,1633
60,6,TRUE,0.274272076372315,0.26199522673031,0.189672882096247,0.00141665675797091,2095
60,7,FALSE,0.263784445805266,0.244409063074097,0.192808814827718,0.000838381874898852,1633
60,7,TRUE,0.295,0.276697247706422,0.171193060580854,0.0017213396319799,1744
60,8,FALSE,0.277746478873239,0.247054500918555,0.180573510609597,0.00100715635473725,1633
60,8,TRUE,0.31680928208847,0.288527918781726,0.155939408425363,0.00180344408124978,1379
60,9,FALSE,0.292467850581751,0.250067360685854,0.170642313623162,0.00113677287085519,1633
60,9,TRUE,0.337296260786194,0.29810162991371,0.142080520791617,0.00197315925195912,1043
60,10,FALSE,0.306748315982854,0.253423147581139,0.160741918679911,0.00125783149098104,1633
60,10,TRUE,0.35875486381323,0.306666666666667,0.130574577307713,0.0020437274022092,771
60,11,FALSE,0.321665646050214,0.258101653398653,0.151191488966644,0.00136172542420937,1633
60,11,TRUE,0.377164179104478,0.318208955223881,0.119079479407539,0.0019902081956136,536
60,12,FALSE,0.334721371708512,0.26162890385793,0.143052684693739,0.00137692274444392,1633
60,12,TRUE,0.397393767705382,0.324759206798867,0.108537066266615,0.00187225250228803,353
60,13,FALSE,0.347973055725658,0.266625842008573,0.135432203449216,0.00142991679146386,1633
60,13,TRUE,0.412962962962963,0.339814814814815,0.0984552302207502,0.00158731434203496,216
60,14,FALSE,0.361641151255358,0.271524800979792,0.128007627084772,0.0014744474412308,1633
60,14,TRUE,0.441649484536082,0.356701030927835,0.0860170001467559,0.00156053943067284,97
60,15,FALSE,0.374966319657073,0.27786895284752,0.120288978505678,0.00162464382715016,1633
