"n.pop0","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,1,0.001725,0.0244232801950487,0.00173121121811649,0.0502595954837411,0.77393892952047,0.0112580724707968,4000
20,2,0.0681004975876306,0.0422179117992692,0.0631007805680849,0.0833314194395502,0.788880267371066,0.0204852534614971,3999
20,3,0.130766520173205,0.0830626055142996,0.119823441165181,0.15055362191389,0.817844498501539,0.0370861638551435,3943
20,4,0.188373263176515,0.119387971775572,0.183353937901193,0.208492313258119,0.850042966997534,0.0525526175925027,3628
20,5,0.258267772697693,0.145716438674242,0.258122551055811,0.251369706989932,0.889348356673982,0.0631591293981262,3163
20,6,0.34133332443713,0.158507891496195,0.344225893351558,0.248099133445867,0.932379277680928,0.0662113687991397,2676
20,7,0.417874239530333,0.168099184256654,0.408390953542321,0.256785536462772,0.965627960137378,0.0687360790084428,2274
20,8,0.501193036382993,0.164838230813224,0.499966082822306,0.24995591203813,1.01276445848645,0.0683261682817649,1916
20,9,0.574280479330176,0.168498981030181,0.589067943552926,0.24132673000223,1.05910954070373,0.0672224668164838,1681
20,10,0.649521910172174,0.157972320949136,0.641555576322303,0.222866832872372,1.08781274717387,0.0622467069207654,1503
20,11,0.723779090534787,0.144803378121118,0.72660194644478,0.188152572472564,1.13171633342335,0.0530973821044958,1366
20,12,0.771104972104852,0.153059767231237,0.768872995010858,0.205725803970558,1.15549078245733,0.0565595814205704,1270
20,13,0.824056070730204,0.141784823459629,0.830032812109394,0.18032720809443,1.18707093783974,0.0513385919993508,1201
20,14,0.872867382046444,0.134952908004331,0.872685166315345,0.178343476649311,1.21012742269554,0.049187773439203,1137
20,15,0.920392585434796,0.120610939271306,0.922838808203999,0.143467965705407,1.23707500270459,0.0400492012660003,1095
60,1,0.0007925,0.00847967241740994,0.000423553703801065,0.0172731344128486,0.773194057741263,0.00391287622884769,4000
60,2,0.0771116894928225,0.0138854982532634,0.0745761281720266,0.0251478787316385,0.794714318260459,0.00624363422499522,4000
60,3,0.149768705867901,0.0259081853256752,0.152389249947695,0.0424244448244997,0.833363098056267,0.0107897130253368,4000
60,4,0.218982109962829,0.0416458101580357,0.221403246124732,0.0618797265530921,0.868518692175381,0.0161069895838315,3998
60,5,0.281389945903539,0.0604925895455922,0.284537428011887,0.0900679246630509,0.900307919556842,0.0235344007868355,3981
60,6,0.342107141827194,0.0787038890779902,0.339763787597024,0.118828997005123,0.929661100558809,0.0310780268652785,3922
60,7,0.402065433276203,0.096655263315505,0.403251025722766,0.144769247148678,0.962874202990191,0.0387365984655474,3800
60,8,0.471619349766321,0.103117440267112,0.460225753179541,0.151424356209748,0.991909918198487,0.0407273651398977,3607
60,9,0.533034001852676,0.108781189700248,0.535427112580903,0.157613371793357,1.03181401559067,0.043552878066205,3403
60,10,0.588935153997876,0.118891908042293,0.594545192356822,0.160301279399561,1.06215483383005,0.0448626026395835,3210
60,11,0.653352928158902,0.115571169517493,0.651878033902765,0.150772820885908,1.09314149758342,0.0425177564662902,3017
60,12,0.710268424891306,0.116020633612962,0.70847324833105,0.156048934508908,1.12271364082494,0.0438247849931248,2875
60,13,0.766170292469815,0.114217138535913,0.771547186455516,0.144643796626506,1.15698569827123,0.0409490220182333,2756
60,14,0.812568296352242,0.118157780511763,0.810869782990887,0.148425250748491,1.17745892332749,0.0414979642925698,2665
60,15,0.862534000730663,0.114334416609561,0.861159127811494,0.142964635650399,1.20434795131301,0.0404719909445075,2574
