"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,15.381,35.2897502187768,0.999875
20,3,12.8635,61.3805403175402,0.984
20,4,11.755625,95.8846414395548,0.9105
20,5,11.518125,149.311335401301,0.80725
20,6,12.375625,259.44646166708,0.70825
20,7,14.289,472.846334791827,0.6285
20,8,17.482625,921.028076618984,0.571625
20,9,22.676125,1941.16162518749,0.523875
20,10,30.78275,4301.21970490087,0.494375
20,11,43.3,10066.0675084389,0.471875
20,12,63.147,24550.8329951221,0.457
20,13,94.713,62853.7791033876,0.446125
20,14,144.98925,164729.54432748,0.436875
20,15,226.235625,443633.953100007,0.431
60,1,60,0,1
60,2,46.33325,108.529760657581,1
60,3,39.043375,190.448299646831,1
60,4,35.625,280.920740092512,0.999875
60,5,35.11375,426.925426615825,0.996625
60,6,36.951,682.233878234783,0.983875
60,7,41.485,1166.12829103639,0.9655
60,8,49.21575,2146.67778666084,0.940875
60,9,61.59575,4227.55577640952,0.91525
60,10,80.56225,8812.53419171158,0.891125
60,11,109.4,19277.82847856,0.872625
60,12,152.9455,43591.0291583947,0.858375
60,13,220.28825,102814.342954809,0.846875
60,14,324.89575,250232.180904547,0.837375
60,15,489.90625,629453.238115702,0.830125
