"n.pop0","ext.gen","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,2,1,-0.0880769230769231,0.0210746606334842,-0.143007864159337,0.0399115636726151,0.701654568073884,0.00907100870604667,52
20,2,2,-0.0895748695748696,0.0847147121982068,-0.18892833135967,0.214871281445133,0.676855890295676,0.0462526350241448,52
20,3,1,-0.0688562091503268,0.0260265563055823,-0.0903768248137745,0.0468762153747504,0.729142817192447,0.0099588019960957,306
20,3,2,-0.0180583973510685,0.0943181514394578,-0.0729755941154304,0.141132803687027,0.73486801009677,0.0324206103912487,305
20,3,3,0.00307536725569513,0.271872418157888,-0.0236444933229676,0.568845589213861,0.761347912789681,0.125419805355161,305
20,4,1,-0.0459183673469388,0.0250955751391466,-0.0681970274712578,0.0554419940651589,0.739769683462213,0.0118880468410563,441
20,4,2,0.00130159802593078,0.0822092907622934,-0.0226189532962653,0.111246720530193,0.758004030734076,0.0257370588554408,441
20,4,3,0.0371733476638597,0.164520027893452,0.00667294176263712,0.243638501179349,0.773396687622669,0.0567045313085308,441
20,4,4,0.0767089423552009,0.369050050757675,0.0864110991329568,0.678434475983386,0.814375923691465,0.162918846351189,441
20,5,1,-0.0376070528967254,0.0231273401521512,-0.0481764149403819,0.0471525592434423,0.750842907423325,0.0104972421591853,397
20,5,2,0.0275435648555127,0.0639330323097439,0.0303619277429651,0.0960705229319565,0.782916844928926,0.023049451048705,397
20,5,3,0.0449233517675067,0.108852093101943,0.0348483650178323,0.149304166017067,0.78327242954676,0.0348457073873241,397
20,5,4,0.0628097956109513,0.201796031519425,0.0566437199502951,0.291290085542995,0.793897902137347,0.0697942858971219,397
20,5,5,0.0875117857233726,0.384130868990647,0.0449068277829039,0.682381852532038,0.791867912583112,0.151448071443065,397
20,6,1,-0.0293265993265993,0.0210049504049504,-0.0396797754059507,0.0385650854568439,0.755154649973645,0.00842306631351751,297
20,6,2,0.046232831846903,0.0499649265834968,0.0527022672652658,0.0890661775494904,0.793363617315326,0.0210628862519111,297
20,6,3,0.0902955839910209,0.108408458470898,0.0853693357514774,0.183675377781673,0.811139745078988,0.0413687473126391,297
20,6,4,0.153139698102646,0.162342558691415,0.141384599010059,0.222534375493555,0.832196190052708,0.0535280593365021,297
20,6,5,0.144432684392812,0.240553842349256,0.124051316383179,0.309878959541236,0.822894491294473,0.0782132895929022,297
20,6,6,0.149418256640479,0.427946596929909,0.106843382262979,0.658975445986804,0.815315304092822,0.163550333634543,297
20,7,1,-0.01175,0.0217199372384937,-0.0280913514098713,0.0435307037811665,0.756904836571678,0.0104736369481636,240
20,7,2,0.0748041342493334,0.058913754177918,0.0805798411954292,0.0984759692005586,0.809235641658491,0.0229803977325148,240
20,7,3,0.141997331562472,0.0877881830428355,0.161871249579143,0.134824933455205,0.846163421782146,0.0329406018600642,240
20,7,4,0.169690480764275,0.139968227266635,0.196661447605356,0.18846902235787,0.863348370169291,0.0470928894404975,240
20,7,5,0.198977615495866,0.183940785974252,0.238624886310885,0.257362018411512,0.885218996077234,0.0661979330239844,240
20,7,6,0.19443299271463,0.242333424935335,0.133517358628817,0.384058143561793,0.834953183411015,0.0900739600936855,240
20,7,7,0.200492364117364,0.384978643625251,0.145932686911201,0.748605352366575,0.839560468829928,0.169158434737414,240
20,8,1,-0.0306632653061224,0.0185600706436421,-0.0368843825135835,0.0422965715192852,0.755779643042725,0.00899608540463186,196
20,8,2,0.0750254187264261,0.0501247860442232,0.0753944266418522,0.0694358216475369,0.80607543573971,0.016213945034352,196
20,8,3,0.14869291220565,0.0790315955725764,0.148372522350387,0.120007142202771,0.836622468505074,0.0285153228221894,196
20,8,4,0.192662477704925,0.100269106186434,0.219068336550757,0.147194335360388,0.87472744726907,0.0379113659204933,196
20,8,5,0.228618836318932,0.136122098999897,0.280370085134757,0.195126784909165,0.90373798595102,0.0507866540137072,196
20,8,6,0.255256550238267,0.195120695747363,0.264970571286587,0.269873075548434,0.893547518942517,0.070883504938562,196
20,8,7,0.24406348470124,0.21823964225468,0.211109023977607,0.334565419142623,0.86193873091114,0.0863567729728046,196
20,8,8,0.230376984126984,0.347667873931624,0.209916875740746,0.655238551372648,0.868416139748666,0.166408636821833,196
20,9,1,-0.00868852459016393,0.0175536377184663,-0.00691751392568837,0.0399788757876251,0.77171904071744,0.00854225782649964,122
20,9,2,0.0946159276818306,0.0479906654630996,0.0897416804186475,0.0763173760537495,0.814804968184646,0.0184709414313568,122
20,9,3,0.163479088775766,0.0695397244476608,0.163592571936766,0.0985766230828808,0.844654557561667,0.024496883837423,122
20,9,4,0.209850987547733,0.0975576893233464,0.21255629429914,0.151123487003454,0.870693159479363,0.0366911928117139,122
20,9,5,0.258553567604384,0.137925748004544,0.261730797972324,0.182308254701871,0.89319827765019,0.0488574566647409,122
20,9,6,0.261330378063122,0.164177132300924,0.22650481117027,0.242613991800466,0.882377893802237,0.0603004818000412,122
20,9,7,0.276207782606618,0.247952995826422,0.333502008546521,0.31169736886547,0.934081472588381,0.083482102772465,122
20,9,8,0.249660035400151,0.297503403681172,0.205814714429463,0.38698855976521,0.862893848705163,0.0987339328893786,122
20,9,9,0.312997658079625,0.369807056421449,0.306390765322759,0.763748822124219,0.925057699611339,0.191430602477987,122
20,10,1,-0.0201063829787234,0.0243429993136582,-0.0125236549805608,0.0549875039783446,0.768710988646886,0.0126648977053544,94
20,10,2,0.0969820560784098,0.0512264474661515,0.122288705429446,0.0949844035437474,0.830625202889967,0.0218255643744906,94
20,10,3,0.197886059895504,0.0863216768155746,0.199995132091682,0.111686755612676,0.867667006669712,0.0268453984985088,94
20,10,4,0.262134668148238,0.111653128301934,0.257750782628563,0.165110603648325,0.898680265055962,0.0389272827605744,94
20,10,5,0.324701967829405,0.114517117751346,0.387895281308117,0.117961443694157,0.961284791214055,0.0330177587486262,94
20,10,6,0.34925421695768,0.153728849454413,0.365137832410615,0.173908966366052,0.944377414643793,0.0446265203831075,94
20,10,7,0.339599133787195,0.207186931433708,0.338786675097221,0.201522660424411,0.932274792705767,0.0554999500721248,94
20,10,8,0.340022831778151,0.279041135837149,0.346089680114032,0.370444677088478,0.941963757909284,0.0939928263549198,94
20,10,9,0.32777479612586,0.366780504283198,0.335458947709707,0.394259749071799,0.928725724213018,0.104851465242196,94
20,10,10,0.335041447913788,0.490587819168197,0.323562511761834,1.04492709110204,0.917985618458693,0.243073276881805,94
20,11,1,-0.0232258064516129,0.0242222104706504,-0.0353236013813351,0.0401298203241616,0.75741182013884,0.00878962814255371,62
20,11,2,0.0936535896183658,0.06227868403405,0.123999374683246,0.09323969358594,0.824973298326124,0.0206039148837865,62
20,11,3,0.218952237431923,0.0767834213443782,0.228845342907229,0.106778968743206,0.875950634296799,0.0268887696729599,62
20,11,4,0.334514584729078,0.0917005505691275,0.340008183415999,0.141340710691296,0.927105775560002,0.0322128335312296,62
20,11,5,0.359610830721187,0.155391307766151,0.352972988207128,0.243924406151204,0.939862627078402,0.064411087101505,62
