"n.pop0","ext.gen","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,2,1,-0.0478571428571429,0.0221013769363167,-0.14298751098837,0.0485470060281978,0.708601680267914,0.0103776470562728,84
20,2,2,-0.0396828525504996,0.09277708995085,-0.0482484765686514,0.235538471484965,0.732806012153104,0.0527506223253493,84
20,3,1,-0.0505820105820106,0.0222978036012519,-0.0752382240542243,0.0490491084218909,0.736490430847632,0.0104128101248607,378
20,3,2,-0.00587724012497138,0.0498381915348955,-0.0600166186187617,0.11002382899317,0.729692706571204,0.0250914037789335,378
20,3,3,0.029537800529864,0.16660528926487,0.00150175064219057,0.422139807426443,0.761237281240376,0.103498425927876,378
20,4,1,-0.0402413793103448,0.0238603906854863,-0.05297540292032,0.0490492522564124,0.74555589505957,0.0105911756804131,580
20,4,2,-0.0125337173926818,0.0408751786706704,-0.0212257144113941,0.0888276410887925,0.746103860016542,0.0218568095557948,580
20,4,3,0.00259843532385435,0.0937399746473215,-0.0586537624397367,0.19225953039116,0.727454058324465,0.0465028418084327,580
20,4,4,0.0338602278947107,0.197841411879846,-0.00174322032966245,0.516467316618001,0.760479005397563,0.125305008925064,580
20,5,1,-0.0165302491103203,0.0238287593329146,-0.0226147551011708,0.0513407704845219,0.76266709427862,0.0113586699805463,562
20,5,2,0.0133054076557164,0.0414753839105036,0.0183772700375218,0.0743392216902026,0.76592407946949,0.0182302724849758,561
20,5,3,0.0341663906918297,0.0812987892837473,0.0360728540364891,0.145462758600545,0.775678386412033,0.0359470162863945,561
20,5,4,0.0372741489051649,0.124955643572258,-0.013493831749287,0.200452056789865,0.747913317271578,0.0479371052181017,561
20,5,5,0.0429365079365079,0.221187268046107,0.00817235303538017,0.536641382699908,0.766597693145158,0.128060147068405,561
20,6,1,-0.00852028639618138,0.0232954128649896,-0.00630643191067754,0.0453985989307949,0.769617297553569,0.0100803293314303,419
20,6,2,0.0332282854951475,0.0353883208705758,0.0411016044537403,0.0770711415935092,0.778473327901576,0.0188690346606155,419
20,6,3,0.0791830464514357,0.0660111584043463,0.110328078335657,0.104816585010979,0.811575046848883,0.0270598178871419,419
20,6,4,0.106947681894198,0.105812293182537,0.106641273245785,0.168951344189864,0.808553839492084,0.0445395077167332,419
20,6,5,0.131775791829491,0.1502343122111,0.107332940952279,0.24035354843835,0.809999204160654,0.0605424354095486,419
20,6,6,0.12018070235254,0.236804268877543,0.0570345866658953,0.610171869149304,0.791535631147143,0.148752174883732,419
20,7,1,0.015070821529745,0.02405915690188,0.0130919634107328,0.0495388154212647,0.78003146560361,0.0110333629610158,353
20,7,2,0.0518094354504583,0.0341148069000163,0.0662611848774109,0.0631145282906026,0.791218578371414,0.015709908139051,353
20,7,3,0.0946728647234267,0.0562965683888741,0.0987379641215662,0.0861690982171879,0.803263867587074,0.0219073713775732,353
20,7,4,0.125695886657239,0.0829121965274896,0.144280139258048,0.139604427851696,0.830066510563702,0.034420916791968,353
20,7,5,0.143160074649388,0.115670911529318,0.150185469157577,0.189909479007095,0.830440766904013,0.0487516474073393,353
20,7,6,0.138947149010888,0.14597243748905,0.105573211649117,0.235003393414895,0.809207003145055,0.0593007898015435,353
20,7,7,0.145192005036198,0.218726544819457,0.111496784771585,0.508445413346123,0.807820490480361,0.132188353842872,353
20,8,1,0.0163013698630137,0.0209656151816011,0.0100018022531257,0.0497327865294302,0.778500996773714,0.0108486351586588,219
20,8,2,0.0923327578206974,0.029068499291768,0.107902600386242,0.0590433021828542,0.807695648227878,0.0153253794436268,219
20,8,3,0.139778561960226,0.038695445783254,0.154790569733649,0.0685233092819151,0.831574289532048,0.0177296092971083,219
20,8,4,0.198525530295295,0.0536020775857437,0.183502941666952,0.118174056342481,0.848348046170079,0.0317860898565423,219
20,8,5,0.21579737390925,0.0800279635109138,0.244148875700309,0.153373716530164,0.877767406181646,0.0407451207121837,219
20,8,6,0.211398627889334,0.117123202208033,0.1983743664167,0.176913351272981,0.851474917439965,0.0475983747675522,219
20,8,7,0.217037033969262,0.143998509385895,0.200226688609058,0.221833971488164,0.852552526870543,0.0600711974147678,219
20,8,8,0.213159382474451,0.236978331956413,0.151060250038766,0.583453501050804,0.83580414740178,0.151417780448202,219
20,9,1,-0.000561797752808988,0.0247499650860153,-0.00398186574554992,0.0534663352066684,0.773663230227634,0.0121058623230364,178
20,9,2,0.0896443982721061,0.0284114966953239,0.0910257843379988,0.0612512816675193,0.803207528598775,0.016269679437059,178
20,9,3,0.135749301893001,0.0539734521858564,0.143671355352522,0.0865113827865123,0.827855827045284,0.0218426085113805,178
20,9,4,0.170488234847838,0.0591320831539525,0.17991658167168,0.118896239258173,0.846363962482379,0.0310462138183515,178
20,9,5,0.212483471649439,0.0836432750610787,0.226075572856547,0.170542961763271,0.868288795220888,0.0444764505700453,178
20,9,6,0.22469228151575,0.0952416229751578,0.243223783443532,0.125557649821239,0.870736615068044,0.0350552078349374,178
20,9,7,0.225353023454478,0.137812158758963,0.208995230962487,0.201217039131287,0.85914736586517,0.0519124365227018,178
20,9,8,0.232133720725922,0.166794004507044,0.186178722386146,0.2343851313179,0.846521095054239,0.0640916667174522,178
20,9,9,0.264542981986802,0.236309173446341,0.215507790675735,0.527214694572619,0.863284105037397,0.13980517182476,178
20,10,1,0.0252671755725191,0.0206989665296536,0.0483587698169424,0.0459817447556882,0.792986637258734,0.0106925665794377,131
20,10,2,0.0799456564330562,0.0325325075972009,0.108178257971163,0.0502318502191047,0.810909307051349,0.0126236543844729,131
20,10,3,0.149214843106615,0.053791455748209,0.185036070181377,0.0824285049742563,0.850298740322961,0.0216608453984438,131
20,10,4,0.193009998812489,0.0580826702530117,0.231410456778588,0.098150797264349,0.871205570829778,0.0258009430992242,131
20,10,5,0.236735299005444,0.0756652804779676,0.236638940375266,0.112179202186583,0.873230371792586,0.0302079309114802,131
20,10,6,0.262117001394056,0.0920149732213352,0.284978735115066,0.140449535437334,0.899383001676803,0.0370431685854372,131
20,10,7,0.272950647606935,0.129152755441222,0.278505845070898,0.211698135702746,0.898001841869995,0.0573906800460725,131
20,10,8,0.273915762097172,0.152980866536709,0.269617552447838,0.232508209260699,0.8910082264295,0.0637773100146367,131
20,10,9,0.30358365553022,0.185131753606257,0.284711202411194,0.236415443332778,0.895741007418629,0.064764384546051,131
20,10,10,0.310890915700076,0.264674665823475,0.245937218666238,0.488675937475032,0.882169678818354,0.135154860412895,131
