"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,2,0.24,0.24,0.253037121212121,8.57248543123545e-06,66
20,1,3,0.24,0.24,0.253576923076923,6.48020655270655e-06,325
20,1,4,0.24,0.24,0.253242841409692,6.42890559510265e-06,454
20,1,5,0.24,0.24,0.25341684434968,6.02370070435369e-06,469
20,1,6,0.24,0.24,0.253478358208955,6.79491699854841e-06,402
20,1,7,0.24,0.24,0.25340253968254,7.058576332019e-06,315
20,1,8,0.24,0.24,0.253474159663866,8.40427671701592e-06,238
20,1,9,0.24,0.24,0.253941576086956,6.19125378652887e-06,184
20,1,10,0.24,0.24,0.253668543046358,5.31242052980133e-06,151
20,1,11,0.24,0.24,0.2537372,5.34241548387098e-06,125
20,1,12,0.24,0.24,0.253347014925373,6.70741519674355e-06,67
20,1,13,0.24,0.24,0.253649090909091,6.83217508417509e-06,55
20,1,14,0.24,0.24,0.25418085106383,6.03462534690103e-06,47
20,1,15,0.24,0.24,0.253429491833031,6.251204827817e-06,1102
20,2,2,0.251515151515152,0.247878787878788,0.219063084745579,0.000575027160580749,66
20,2,3,0.241353846153846,0.241723076923077,0.232415142611186,0.000206030023288285,325
20,2,4,0.240264317180617,0.24079295154185,0.235938298595606,0.000138351659131402,454
20,2,5,0.240085287846482,0.240085287846482,0.238894938916735,0.000100801679523545,469
20,2,6,0.240099502487562,0.240099502487562,0.238856287869544,0.000105554310012309,402
20,2,7,0.240126984126984,0.240126984126984,0.23995789687395,8.50696265498704e-05,315
20,2,8,0.24,0.240168067226891,0.239792655476221,0.000113205912532703,238
20,2,9,0.24,0.240217391304348,0.239828560234859,8.31938682438356e-05,184
20,2,10,0.240264900662252,0.24,0.240386991028842,9.90777571339572e-05,151
20,2,11,0.24064,0.24,0.241042336842648,8.79521711099582e-05,125
20,2,12,0.24,0.24,0.241111221436853,6.07372892238921e-05,67
20,2,13,0.24,0.24,0.239212990217733,0.000115116751178529,55
20,2,14,0.24,0.24,0.241782543816546,8.74697312221313e-05,47
20,2,15,0.24021778584392,0.240036297640653,0.239393625452307,8.91120668846791e-05,1102
20,3,3,0.301661538461538,0.297969230769231,0.173461967610232,0.00237089089815785,325
20,3,4,0.252775330396476,0.25215859030837,0.207749282040215,0.000714745849684507,454
20,3,5,0.244605543710021,0.244605543710021,0.218768208270128,0.000393009530506293,469
20,3,6,0.244477611940298,0.243383084577114,0.220916499971003,0.000399238999977408,402
20,3,7,0.24215873015873,0.241015873015873,0.223650756029887,0.000270308616106271,315
20,3,8,0.243361344537815,0.241680672268908,0.22439437071454,0.000320550110458922,238
20,3,9,0.24304347826087,0.241521739130435,0.225314683488826,0.000349386437638567,184
20,3,10,0.242649006622517,0.240264900662252,0.224961201275937,0.000316737466179129,151
20,3,11,0.2432,0.2416,0.225954987205766,0.000318278406461938,125
20,3,12,0.24,0.24,0.226057977482969,0.000225678997012244,67
20,3,13,0.242181818181818,0.242181818181818,0.225617129221836,0.000370386339983296,55
20,3,14,0.241702127659574,0.240851063829787,0.225704526245256,0.000299534001929905,47
20,3,15,0.244355716878403,0.240871143375681,0.223116533525051,0.00033955071442167,1102
20,4,4,0.323876651982379,0.319911894273128,0.151922081831749,0.00221397775310976,454
20,4,5,0.26865671641791,0.264904051172708,0.189905630434961,0.000920785080651553,469
20,4,6,0.258606965174129,0.254925373134328,0.19953662289287,0.000780981646018679,402
20,4,7,0.25168253968254,0.249396825396825,0.204969658938899,0.000568941540387077,315
20,4,8,0.252605042016807,0.247563025210084,0.206493549084394,0.000602356193499605,238
20,4,9,0.248260869565217,0.245217391304348,0.208166803165489,0.000545324049868026,184
20,4,10,0.248741721854305,0.243443708609272,0.209255237577427,0.000562620034193954,151
20,4,11,0.2512,0.24672,0.208753066816886,0.000719934199325378,125
20,4,12,0.247164179104478,0.242985074626866,0.213437153630594,0.000453626611266485,67
20,4,13,0.250181818181818,0.244363636363636,0.213136462540898,0.000487293540097859,55
20,4,14,0.248510638297872,0.244255319148936,0.210283190597803,0.000542860881420027,47
20,4,15,0.252522686025408,0.242577132486388,0.207524540826643,0.000624294753552987,1102
20,5,5,0.345074626865672,0.334413646055437,0.137119400868635,0.00195285338322409,469
20,5,6,0.287562189054726,0.28,0.1728559120885,0.00109095911073435,402
20,5,7,0.271619047619048,0.264126984126984,0.183932875491621,0.000933970701719747,315
20,5,8,0.268403361344538,0.256974789915966,0.189981223504806,0.000836113762765205,238
20,5,9,0.266086956521739,0.254347826086956,0.191478634684929,0.000830628938214846,184
20,5,10,0.265165562913907,0.252980132450331,0.191474304966747,0.000946525383293691,151
20,5,11,0.26624,0.25632,0.19078763084674,0.00113280950012874,125
20,5,12,0.261492537313433,0.250746268656716,0.197350575934446,0.000826077189717758,67
20,5,13,0.256,0.245818181818182,0.200850152486317,0.000771797708109886,55
20,5,14,0.262978723404255,0.251914893617021,0.193486914092057,0.000847369161047403,47
20,5,15,0.264827586206897,0.245154264972777,0.193128165275352,0.000824766638243369,1102
20,6,6,0.36318407960199,0.344278606965174,0.125707562370812,0.00171052865789945,402
20,6,7,0.304634920634921,0.289269841269841,0.159389221553387,0.00128319369584599,315
20,6,8,0.292268907563025,0.271260504201681,0.171724360628999,0.00105153597884701,238
20,6,9,0.287608695652174,0.269347826086957,0.17418980918018,0.00124953575864177,184
20,6,10,0.28158940397351,0.261456953642384,0.176725380088016,0.00114546237391037,151
20,6,11,0.2848,0.2656,0.174360729128947,0.00137042190819778,125
20,6,12,0.278805970149254,0.255522388059702,0.184806358314576,0.000989002414210845,67
20,6,13,0.266181818181818,0.253818181818182,0.189436062800609,0.000900850938682968,55
20,6,14,0.281702127659574,0.257021276595745,0.177347661286527,0.00109536340464074,47
20,6,15,0.278221415607985,0.248566243194192,0.180392156034438,0.00100581492861162,1102
20,7,7,0.380952380952381,0.355428571428571,0.113007495716508,0.00184219161978443,315
20,7,8,0.325042016806723,0.298319327731092,0.147508837674229,0.00143756122057902,238
20,7,9,0.31304347826087,0.288478260869565,0.154445493316055,0.00157093963864261,184
20,7,10,0.305165562913907,0.274701986754967,0.159219707855094,0.00140586673163195,151
20,7,11,0.30848,0.27648,0.158872009935839,0.00153100535475571,125
20,7,12,0.294328358208955,0.266268656716418,0.171242176036929,0.00128430742692216,67
20,7,13,0.273454545454545,0.258181818181818,0.179744534108976,0.000901994352130054,55
20,7,14,0.299574468085106,0.263829787234043,0.166462572826861,0.00110347992040086,47
20,7,15,0.292595281306715,0.252377495462795,0.169110807928141,0.0011524339271331,1102
20,8,8,0.39109243697479,0.361008403361345,0.10607935364622,0.00192984968019967,238
20,8,9,0.341304347826087,0.312608695652174,0.13511866923466,0.00174281398427409,184
20,8,10,0.331920529801325,0.292185430463576,0.141769471461805,0.00158169582916933,151
20,8,11,0.32544,0.28768,0.144939398284686,0.00150609838460832,125
20,8,12,0.318208955223881,0.277014925373134,0.156670272167757,0.0015855124112063,67
20,8,13,0.297454545454545,0.263272727272727,0.16723411663997,0.00116409556825806,55
20,8,14,0.326808510638298,0.271489361702128,0.149131531955717,0.00129931499749666,47
20,8,15,0.307259528130672,0.256007259528131,0.159326614023369,0.0013053267663084,1102
20,9,9,0.404130434782609,0.359782608695652,0.100074513981317,0.00179922041800484,184
20,9,10,0.368741721854305,0.317086092715232,0.121834916058299,0.00156831930131739,151
20,9,11,0.3568,0.30656,0.126606205939291,0.00166483747095862,125
20,9,12,0.334328358208955,0.295522388059701,0.141787835684383,0.0016887380123667,67
20,9,13,0.317818181818182,0.269090909090909,0.15610270972077,0.00103765887619723,55
20,9,14,0.339574468085106,0.28,0.139232996358437,0.00145444923929505,47
20,9,15,0.319637023593466,0.260072595281307,0.151252916878619,0.00141874086474013,1102
20,10,10,0.43205298013245,0.363708609271523,0.0852573639868233,0.00155358946961728,151
20,10,11,0.38496,0.32608,0.110514011149128,0.00171075954936677,125
20,10,12,0.359402985074627,0.311641791044776,0.126790322123394,0.00164791894293769,67
20,10,13,0.336727272727273,0.285818181818182,0.14110490452036,0.00117978821355011,55
20,10,14,0.359148936170213,0.293617021276596,0.126409806458156,0.00162435287419372,47
20,10,15,0.330998185117967,0.263411978221416,0.143811893938472,0.00150651316288592,1102
20,11,11,0.4464,0.36928,0.0782300009070295,0.00154893768630581,125
20,11,12,0.388059701492537,0.330746268656716,0.108204513809283,0.00155065110502905,67
20,11,13,0.361454545454545,0.301818181818182,0.125288592910397,0.00134045613640246,55
20,11,14,0.377872340425532,0.306382978723404,0.116167556149559,0.00158051626862943,47
20,11,15,0.340580762250454,0.266678765880218,0.137735363509129,0.00156389718150936,1102
20,12,12,0.446567164179104,0.374328358208955,0.0763117681152063,0.00144206481758603,67
20,12,13,0.388363636363636,0.333090909090909,0.107235904877763,0.00161677980996704,55
20,12,14,0.391489361702128,0.323404255319149,0.105443814840932,0.00195583792443238,47
20,12,15,0.348929219600726,0.270308529945554,0.131754962971118,0.00158027476580354,1102
20,13,13,0.426909090909091,0.376,0.0826936270871985,0.00162066719891752,55
20,13,14,0.411063829787234,0.342127659574468,0.0918376256043075,0.00190034464777282,47
20,13,15,0.356442831215971,0.273502722323049,0.126564994154375,0.00163569367303426,1102
20,14,14,0.447659574468085,0.378723404255319,0.0700098962437615,0.00152793994854788,47
20,14,15,0.363448275862069,0.276660617059891,0.121790181641517,0.00168951571173445,1102
20,15,15,0.371615245009074,0.280290381125227,0.117531767169323,0.00178923376766278,1102
60,1,3,0.24,0.24,0.258244444444444,2.80277777777773e-07,3
60,1,4,0.24,0.24,0.257721895424837,5.66649192084237e-07,17
60,1,5,0.24,0.24,0.257610130718954,8.09487196113014e-07,85
60,1,6,0.24,0.24,0.257944372759857,5.8713844279973e-07,155
60,1,7,0.24,0.24,0.257776229508197,7.22384816660772e-07,183
60,1,8,0.24,0.24,0.257850980392157,6.78018777443775e-07,238
60,1,9,0.24,0.24,0.257823256373256,6.61571792226382e-07,231
60,1,10,0.24,0.24,0.257818572351421,7.59554682266241e-07,172
60,1,11,0.24,0.24,0.25781686228482,7.88891695986262e-07,142
60,1,12,0.24,0.24,0.257841644444444,9.37745232974907e-07,125
60,1,13,0.24,0.24,0.25779708994709,6.8928424456202e-07,105
60,1,14,0.24,0.24,0.257869135802469,5.89530248313315e-07,99
60,1,15,0.24,0.24,0.25782361508748,7.27069104878256e-07,2445
60,2,3,0.24,0.24,0.251458232880945,1.82348561716465e-05,3
60,2,4,0.24,0.24,0.252388188778445,8.36959410163677e-06,17
60,2,5,0.24,0.24,0.252272748007505,9.86308730920299e-06,85
60,2,6,0.24,0.24,0.253171810311661,7.65795577785487e-06,155
60,2,7,0.24,0.24,0.252904714992994,8.94990057352846e-06,183
60,2,8,0.24,0.24,0.253038593548772,8.43357241772726e-06,238
60,2,9,0.24,0.24,0.253126896502986,7.07954328236259e-06,231
60,2,10,0.24,0.24,0.25318049317423,8.32957350584528e-06,172
60,2,11,0.24,0.24,0.253171043686809,7.49025607974164e-06,142
60,2,12,0.24,0.24,0.253009217059918,9.60431408725377e-06,125
60,2,13,0.24,0.24,0.253195474478908,8.09955917970301e-06,105
60,2,14,0.24,0.24,0.253635800364833,8.04947904801976e-06,99
60,2,15,0.24,0.24,0.252889310323841,8.83735113060884e-06,2445
60,3,3,0.24,0.24,0.231073359861239,0.00013958186959365,3
60,3,4,0.24,0.24,0.239648732118458,0.000109680631606821,17
60,3,5,0.24,0.24,0.242066253664623,6.54393511055896e-05,85
60,3,6,0.24,0.24,0.244777467450038,5.88410290082283e-05,155
60,3,7,0.24,0.24,0.245402110585196,4.38362658423926e-05,183
60,3,8,0.24,0.24,0.246396708102316,4.64509919552078e-05,238
60,3,9,0.24,0.24,0.24589670559927,4.27898375343831e-05,231
60,3,10,0.24,0.24,0.24625306780403,4.71983810384985e-05,172
60,3,11,0.24,0.24,0.246949006834034,3.41323695282936e-05,142
60,3,12,0.24,0.24,0.246226234185017,3.65903454077933e-05,125
60,3,13,0.24,0.24,0.247505964687972,2.88846650130563e-05,105
60,3,14,0.24040404040404,0.24,0.247005756057512,4.59923661929899e-05,99
60,3,15,0.24,0.24,0.246380529145885,3.53362398894304e-05,2445
60,4,4,0.294117647058824,0.294117647058824,0.181126834045233,0.00334053279468921,17
60,4,5,0.245176470588235,0.242352941176471,0.221896055777085,0.000395110209819751,85
60,4,6,0.24258064516129,0.241032258064516,0.230701969283044,0.000271936829369685,155
60,4,7,0.240874316939891,0.240437158469945,0.233934832823914,0.000142436354540884,183
60,4,8,0.240168067226891,0.240168067226891,0.236768727113621,0.000116048761403154,238
60,4,9,0.24017316017316,0.24017316017316,0.237440698259389,0.000129259775412245,231
60,4,10,0.240232558139535,0.24,0.237157477237208,0.000128852365859142,172
60,4,11,0.24,0.24,0.238771018128149,0.000110911170398844,142
60,4,12,0.24064,0.24,0.237487675502158,0.000115791253504642,125
60,4,13,0.24,0.24,0.237476957825952,0.000101511786062014,105
60,4,14,0.240808080808081,0.24040404040404,0.240462440976776,0.000105139115954344,99
60,4,15,0.240147239263804,0.2400163599182,0.238249184945368,9.53259292367967e-05,2445
60,5,5,0.295529411764706,0.283764705882353,0.177517950523338,0.00159932709512957,85
60,5,6,0.256774193548387,0.250322580645161,0.206519636070107,0.000888755808556828,155
60,5,7,0.244808743169399,0.243060109289617,0.218521266835084,0.000390403570879,183
60,5,8,0.243865546218487,0.241680672268908,0.22230959498076,0.000365345514452791,238
60,5,9,0.243463203463203,0.241212121212121,0.225378584342475,0.000330614115494352,231
60,5,10,0.241162790697674,0.24046511627907,0.226076370223367,0.000250975817806303,172
60,5,11,0.24056338028169,0.24056338028169,0.226793641355917,0.000280707106005657,142
60,5,12,0.24192,0.24064,0.226738137102507,0.000286421374956982,125
60,5,13,0.24152380952381,0.24,0.22737717316404,0.000245232056647496,105
60,5,14,0.241616161616162,0.24040404040404,0.231372866195838,0.000264623612788615,99
60,5,15,0.240981595092025,0.240147239263804,0.229101540460352,0.000199547237924155,2445
