"n.pop0","extinct","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,FALSE,1,0.0480306603773585,0.0246344674959647,0.0635376415920392,0.0483918986156541,0.804159493695678,0.0112201243965687,1696
20,FALSE,2,0.257078149621729,0.0603814388202255,0.267962992198464,0.0899710668143477,0.90070734830395,0.0223292650314683,1696
20,FALSE,3,0.437716819890729,0.0992109204427408,0.451188443772881,0.130079060501264,0.99240073069813,0.0328615693920061,1696
20,FALSE,4,0.589244838797423,0.12577676272338,0.607677300892982,0.156156372792483,1.07125477276973,0.0396745386605338,1696
20,FALSE,5,0.715714436394828,0.143459206150615,0.721224689954142,0.182812286827469,1.12741660933617,0.046472041224382,1696
20,FALSE,6,0.81738268777549,0.159792884568095,0.819692879234132,0.195537321972157,1.17614619549635,0.0485285452456461,1696
20,FALSE,7,0.906323575400083,0.166679084452864,0.914655259261874,0.188816734199761,1.22480515449715,0.0470291112582643,1696
20,FALSE,8,0.97698053053948,0.171998190747756,0.990991026157784,0.189567116498304,1.2615154500651,0.0459552645585672,1696
20,FALSE,9,1.03669257972902,0.178623931237013,1.04235655595782,0.201054812387781,1.28728249451404,0.0479622752815258,1696
20,FALSE,10,1.09792218461993,0.177342130623441,1.10285137467982,0.19495680334671,1.3163702949218,0.0457069317776912,1696
20,FALSE,11,1.15714588900471,0.174578189657608,1.1606977066365,0.187295647828758,1.34439435174876,0.0433778983848574,1696
20,FALSE,12,1.20833255285893,0.176596490106155,1.21042069042188,0.190353439585885,1.36810202279309,0.0430102847226305,1696
20,FALSE,13,1.25815109418507,0.177210894185041,1.25729890058278,0.191204563655526,1.38973325031656,0.0429730957595606,1696
20,FALSE,14,1.29882988607588,0.183171616869792,1.30037649717529,0.189604686666269,1.4100780015181,0.0421345044342064,1696
20,FALSE,15,1.34381205709986,0.178884937378748,1.34421057588672,0.195143606722021,1.4300350182434,0.0424804660262856,1696
20,TRUE,1,-0.0345876736111111,0.0232336119365742,-0.0467146093827886,0.0478031031859555,0.750590702006402,0.0106064971026377,2304
20,TRUE,2,0.0395100851754268,0.0688823367927325,0.0294233496987951,0.107598690639891,0.783468020856367,0.0251149962379601,2303
20,TRUE,3,0.0898242616417426,0.135910816842018,0.0793973313739255,0.223920774938251,0.807246974703981,0.0514031731894946,2251
20,TRUE,4,0.146683995011888,0.202088562699193,0.151751689717946,0.319401521257689,0.842018693224248,0.0771322648024715,1946
20,TRUE,5,0.192588464019751,0.235507248382886,0.195167573756785,0.364723979560246,0.86252511478869,0.0873528017642656,1505
20,TRUE,6,0.242983098266155,0.257232936163882,0.222406097278671,0.382099502576324,0.875522235938403,0.0951815672989622,1108
20,TRUE,7,0.281227953125366,0.260952094391236,0.270814745798653,0.41866055504508,0.898656225217039,0.102047398934505,811
20,TRUE,8,0.303032620103257,0.28390608399363,0.291810088623481,0.437065862854697,0.909816802474828,0.112125848855326,571
20,TRUE,9,0.358053428707964,0.295447842700527,0.356278617472181,0.442536085870525,0.942472254192722,0.114899805577518,375
20,TRUE,10,0.391812934125921,0.351120220516247,0.381976985678348,0.606877919887256,0.952085350807244,0.147835898350957,253
20,TRUE,11,0.435941780092723,0.307128516809614,0.394405456653786,0.40334807742874,0.962386968760882,0.113567409291338,159
20,TRUE,12,0.394927231989088,0.319851855378751,0.321470021127084,0.438309077797988,0.923996540038973,0.110543528412129,97
20,TRUE,13,0.324358580487613,0.242180777679542,0.242617982167969,0.50751069526173,0.881612269673095,0.130103791689435,62
20,TRUE,14,0.340114942528736,0.373885303776683,0.054170168488097,0.608049131321501,0.792455907509878,0.154667585457856,29
60,FALSE,1,0.00670127226463104,0.00808978363884777,0.00661423069215774,0.0171357683252331,0.776749525501109,0.0039082894022231,3275
60,FALSE,2,0.164653261330515,0.0236004598050929,0.167515200156403,0.0351300579823074,0.852034624905874,0.0084889522855175,3275
60,FALSE,3,0.312259488824699,0.039359119239439,0.314272757972849,0.053281741382975,0.922992662852961,0.0133900759896044,3275
60,FALSE,4,0.440535531265478,0.0555154182476581,0.444759447540795,0.0707801265231274,0.988577024909769,0.0180929380030305,3275
60,FALSE,5,0.566345017002495,0.0730888038949945,0.568170720681124,0.0910337031745623,1.05049480182971,0.0235243769037632,3275
60,FALSE,6,0.674299461246095,0.0861182063879483,0.67729136123539,0.102526153217182,1.10502027286519,0.0260727321555097,3275
60,FALSE,7,0.775953731337877,0.0948065103117012,0.777532514259549,0.110642625973918,1.15574555614533,0.0281581817450688,3275
60,FALSE,8,0.866496923384799,0.103477535380314,0.869815170190025,0.119542152639702,1.20179489118207,0.0301720009103603,3275
60,FALSE,9,0.947182006448106,0.110427816274369,0.950314266642561,0.121134248701008,1.242381780762,0.030203171140705,3275
60,FALSE,10,1.02155882792398,0.114669639560642,1.02363411837622,0.127609329110423,1.27830794791109,0.0312403281060878,3275
60,FALSE,11,1.09229863265987,0.117442632146019,1.09297051025433,0.128849901943615,1.31179325884798,0.0309873561577222,3275
60,FALSE,12,1.15404298311454,0.123473733324911,1.15650930742313,0.130453085453289,1.34211089410198,0.0307612996035629,3275
60,FALSE,13,1.21489440159909,0.126697733023059,1.21392532573051,0.132752997199956,1.3695304415,0.0306014444808963,3275
60,FALSE,14,1.2729485104482,0.127811807086821,1.27203234407173,0.136198237354779,1.39646309062182,0.0312258653873129,3275
60,FALSE,15,1.32842728054456,0.126444114781211,1.32584626119977,0.138304516910068,1.42079221521251,0.0307800213430324,3275
60,TRUE,1,-0.0359908045977011,0.00755600359856904,-0.0476083015460374,0.0157951733339445,0.750280965770774,0.00351094663354628,725
60,TRUE,2,0.039504020127709,0.0214516358991766,0.0353472044978949,0.0346022160015889,0.785758365737431,0.00793613941532117,725
60,TRUE,3,0.101845063023394,0.0393826915745148,0.0903619773814003,0.0600281386700975,0.813072504318522,0.0140927588142634,725
60,TRUE,4,0.144507357912114,0.065887551052629,0.130530652737972,0.0876762322559193,0.832200169664107,0.0207692550934658,722
60,TRUE,5,0.182292704360437,0.10435344986855,0.177704087712076,0.148352871192093,0.85344426697446,0.0356995908792789,706
60,TRUE,6,0.197345268850516,0.147779230217954,0.184230050866844,0.221825606540399,0.858062150447568,0.0536608099196606,653
60,TRUE,7,0.21635914104658,0.167321132623961,0.20335407364892,0.25713351148868,0.862531985620965,0.0623430012939512,588
60,TRUE,8,0.287579803158321,0.215934032803056,0.291198880460012,0.325500100228922,0.910509226368791,0.0801344385440896,480
60,TRUE,9,0.32465242463277,0.245508080286431,0.309080509275748,0.352047310709191,0.917411521584671,0.0888372431228265,358
60,TRUE,10,0.309629129178618,0.272870837032723,0.311422201050912,0.42636881284749,0.919151472925545,0.111098100143181,262
60,TRUE,11,0.382474189715004,0.292880576414024,0.355535027278542,0.462899349427076,0.939511479401682,0.112938289657439,185
60,TRUE,12,0.382849278172808,0.320988106464094,0.391442949169674,0.486201672962402,0.952822596696793,0.131242688860362,110
60,TRUE,13,0.420253267973856,0.420708037901451,0.369842524995072,0.712212636770243,0.951712096000849,0.172738037604661,68
60,TRUE,14,0.426597222222222,0.373733932165861,0.320772075820929,0.526424916505189,0.911354714117587,0.135990292884268,24
