"n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,0.24,0.24,0.2534704375,6.50455157148662e-06,4000
20,2,0.24045,0.24042,0.238218080009588,0.000126922518779142,4000
20,3,0.249567869852567,0.247686832740214,0.21699762592733,0.000749154935759224,3934
20,4,0.263596564145193,0.257877528401219,0.197438489932722,0.00119890061556287,3609
20,5,0.280494453248811,0.267232963549921,0.181025348779378,0.00143624494895618,3155
20,6,0.296247207743857,0.273045420699926,0.168306960762165,0.00155186677040348,2686
20,7,0.311243432574431,0.277863397548161,0.156990647480543,0.00170904775945321,2284
20,8,0.324184865413916,0.28006094464195,0.148255577241953,0.00177198284514884,1969
20,9,0.336637781629116,0.281201617562103,0.140928167472188,0.00178351661349564,1731
20,10,0.347511312217195,0.282068519715579,0.134043828513425,0.00187179393214726,1547
20,11,0.354412607449857,0.281661891117479,0.129773331572179,0.00186686449457118,1396
20,12,0.3573564122738,0.280472069236821,0.126798341246021,0.00177375120453968,1271
20,13,0.361794019933555,0.280863787375415,0.123205266986145,0.00176623442070619,1204
20,14,0.366892950391645,0.280835509138381,0.119672102082166,0.00178684984866479,1149
20,15,0.371615245009074,0.280290381125227,0.117531767169323,0.00178923376766278,1102
60,1,0.24,0.24,0.257823618055556,7.21166452830413e-07,4000
60,2,0.24,0.24,0.252960041811879,8.62250081470035e-06,4000
60,3,0.24001,0.24,0.246169796277548,4.0120987105205e-05,4000
60,4,0.24064048036027,0.24038028521391,0.237015663856154,0.000151008962380764,3997
60,5,0.243306532663317,0.241809045226131,0.22573542237554,0.000367095539589105,3980
60,6,0.249817715019255,0.245237483953787,0.213291912628725,0.000709536251049183,3895
60,7,0.258417112299465,0.248973262032086,0.201735436987765,0.000970794626165064,3740
60,8,0.268529659825696,0.25358448130447,0.190774093709221,0.00126636275750684,3557
60,9,0.276987044290449,0.255739680626695,0.182295613624174,0.00136116423971441,3319
60,10,0.28339378238342,0.255997409326425,0.175768959570009,0.00140126425638185,3088
60,11,0.29159122085048,0.257901234567901,0.16914667677036,0.00152146387293993,2916
60,12,0.299105984138428,0.259668348954578,0.162694713738094,0.00166862219485504,2774
60,13,0.304401661004153,0.260354850887127,0.158014783627574,0.00167540306065585,2649
60,14,0.309009433962264,0.260786163522013,0.15406697394186,0.00168959676259478,2544
60,15,0.312049079754601,0.259288343558282,0.151176549321253,0.00166347422173152,2445
