"n.pop0","gen","extinct","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,FALSE,0,0,0.487416872547127,1.29545518723849e-05,1727
20,1,TRUE,0,0,0.487474142480211,1.24801120008079e-05,2274
20,2,FALSE,0.000231615518239722,6.94846554719166e-05,0.461287487256486,0.000219108723311084,1727
20,2,TRUE,0.00142542894852618,0.00140783106027277,0.456206898837818,0.000450139428448563,2273
20,3,FALSE,0.00530399536768964,0.0014128546612623,0.43190575825832,0.000768215311398744,1727
20,3,TRUE,0.0245944721341187,0.0223470774807431,0.408652195389417,0.00289117789678935,2207
20,4,FALSE,0.0191082802547771,0.00636942675159236,0.402783930614907,0.00169638843154231,1727
20,4,TRUE,0.0651743883394066,0.0555543987506507,0.364084295558891,0.00481395144802524,1921
20,5,FALSE,0.0370584829183555,0.0130167921250724,0.378495184318174,0.00248067867671999,1727
20,5,TRUE,0.106386333771353,0.0858607095926413,0.326568739952845,0.00561969844415996,1522
20,6,FALSE,0.0582513028372901,0.0207064273306312,0.358102719466224,0.00323639132057766,1727
20,6,TRUE,0.144006938421509,0.112714657415438,0.296892069692634,0.00600917722770622,1153
20,7,FALSE,0.0781239143022582,0.0276317313259988,0.340521028746245,0.00374998024960424,1727
20,7,TRUE,0.179565217391304,0.14048309178744,0.269736953724729,0.00634408836452334,828
20,8,FALSE,0.0954024319629415,0.0347886508396063,0.325423530760893,0.00424611932066166,1727
20,8,TRUE,0.209520547945205,0.161643835616438,0.247459060552317,0.00638044653142117,584
20,9,FALSE,0.111175448755067,0.0411349160393746,0.312436295226968,0.00463592785773745,1727
20,9,TRUE,0.231776649746193,0.177664974619289,0.229261693511282,0.00617858343923098,394
20,10,FALSE,0.125558772437753,0.045859872611465,0.30159888038443,0.00505310192816818,1727
20,10,TRUE,0.269352517985611,0.2,0.20720989386063,0.00643739564521551,278
20,11,FALSE,0.137046902142444,0.0503532136653156,0.292602683777151,0.0054030450859639,1727
20,11,TRUE,0.289574468085106,0.229148936170213,0.191734061552925,0.00594002347462146,188
20,12,FALSE,0.146218876664737,0.0547770700636943,0.285557129835645,0.00566795787604688,1727
20,12,TRUE,0.330545454545455,0.264,0.164407516843953,0.00512040526210091,110
20,13,FALSE,0.153723219455704,0.058320787492762,0.279622783380011,0.0059089223411046,1727
20,13,TRUE,0.332592592592593,0.26962962962963,0.159587440627829,0.00500744562579748,54
20,14,FALSE,0.15965257672264,0.0616097278517661,0.274459481413556,0.0061607440828723,1727
20,14,TRUE,0.408571428571429,0.33,0.115770367670878,0.00366727050157257,28
20,15,FALSE,0.165813549507817,0.0647365373480023,0.269793501950623,0.00646488321786331,1727
60,1,FALSE,0,0,0.495872853381936,1.37167208276901e-06,3292
60,1,TRUE,0,0,0.495790154015402,1.36213357887567e-06,707
60,2,FALSE,0,0,0.486414883134148,1.88416038857831e-05,3292
60,2,TRUE,0,0,0.486231723992772,2.23050718377766e-05,707
60,3,FALSE,0,0,0.474055413636896,8.65055506404561e-05,3292
60,3,TRUE,0,0,0.471249057684005,0.00013026839687527,707
60,4,FALSE,0.000170109356014581,3.64520048602673e-05,0.459741485812512,0.000239736374546069,3292
60,4,TRUE,0.00186968838526912,0.00118980169971671,0.450213653810553,0.000557684041390269,706
60,5,FALSE,0.0012636695018226,0.000303766707168894,0.444759742848016,0.000507493361162171,3292
60,5,TRUE,0.0154415954415954,0.0123646723646724,0.418468281436695,0.00220734753058234,702
60,6,FALSE,0.00464155528554071,0.00120291616038882,0.429149493078391,0.000922682551733971,3292
60,6,TRUE,0.040422322775264,0.0328808446455505,0.384869859827181,0.00384526129707847,663
60,7,FALSE,0.00944106925880923,0.0029404617253949,0.415027990994501,0.00135505738032322,3292
60,7,TRUE,0.0738250428816467,0.0574957118353345,0.352135316112798,0.00503983513563563,583
60,8,FALSE,0.0160510328068044,0.00498177399756987,0.401826995445843,0.00182560300782228,3292
60,8,TRUE,0.111329243353783,0.0858895705521472,0.318671681295472,0.00580319916766981,489
60,9,FALSE,0.0236452004860267,0.00739975698663427,0.389787914704105,0.00226803961898972,3292
60,9,TRUE,0.146451612903226,0.11,0.292599939411921,0.00657373300343898,372
60,10,FALSE,0.0318712029161604,0.0102551640340219,0.379387435748449,0.00269137964633542,3292
60,10,TRUE,0.189428571428571,0.140857142857143,0.264374236073126,0.00696096472768863,280
60,11,FALSE,0.0389428918590522,0.0130498177399757,0.370372947440788,0.00312813043347601,3292
60,11,TRUE,0.2258,0.1636,0.240451879531493,0.00673336170527961,200
60,12,FALSE,0.045224787363305,0.0153341433778858,0.362775699662783,0.00352345371111797,3292
60,12,TRUE,0.267536231884058,0.204927536231884,0.207983371262569,0.00593404748095773,138
60,13,FALSE,0.050996354799514,0.0178007290400972,0.355802999825271,0.00391357346695991,3292
60,13,TRUE,0.319036144578313,0.257831325301205,0.171823087596916,0.00534209452635307,83
60,14,FALSE,0.0559052247873633,0.0197448359659781,0.349993793932555,0.00423399776938488,3292
60,14,TRUE,0.336,0.28,0.160854690098262,0.00463967050795715,30
60,15,FALSE,0.0605589307411908,0.0221142162818955,0.344500269161229,0.00459469045934706,3292
