"n.pop0","gen","bottleneck","nbar","nvar","pext"
20,1,FALSE,20.0251382604324,1.70919944027076,1
20,1,TRUE,20.0251382604324,1.70919944027075,1
20,2,FALSE,15.4932126696833,35.4267831888565,1
20,2,TRUE,15.7732528909,42.633008324765,1
20,3,FALSE,13.367269984917,60.5915057963378,0.987430869783811
20,3,TRUE,13.5842131724485,80.2630848848955,0.982403217697335
20,4,FALSE,12.3670186023127,89.6138176617105,0.927853192559075
20,4,TRUE,12.4406737053796,118.645838318946,0.904977375565611
20,5,FALSE,12.1030668677727,129.559905100381,0.841628959276018
20,5,TRUE,12.2171945701357,175.4635011042,0.799899446958271
20,6,FALSE,12.6158873805933,189.171002242283,0.762192056309703
20,6,TRUE,12.6033182503771,246.323368418176,0.712166918049271
20,7,FALSE,13.8278029160382,291.625608498236,0.683760683760684
20,7,TRUE,13.4474610356963,345.426079797965,0.635243841126194
20,8,FALSE,15.6070889894419,427.383173268929,0.626696832579186
20,8,TRUE,14.6186525892408,463.214607990411,0.577425842131724
20,9,FALSE,18.0175967823027,629.481711899735,0.583961789844143
20,9,TRUE,16.4404223227753,614.906809175375,0.533182503770739
20,10,FALSE,21.0847159376571,898.80222547878,0.55253896430367
20,10,TRUE,18.4881850175968,810.186055995904,0.498240321769734
20,11,FALSE,24.6214177978884,1248.39724797674,0.529663147310206
20,11,TRUE,20.9170437405732,1041.06729304355,0.471091000502765
20,12,FALSE,27.834590246355,1553.1262661258,0.509552538964304
20,12,TRUE,23.3157365510307,1281.14091900731,0.454751131221719
20,13,FALSE,31.6025641025641,1948.81686040886,0.494469582704877
20,13,TRUE,25.8730517848165,1552.96124997519,0.440673705379588
20,14,FALSE,35.3386123680241,2352.11186551186,0.488185017596782
20,14,TRUE,28.2833081950729,1829.04242184159,0.432126696832579
20,15,FALSE,38.6161387631976,2698.29641536116,0.480894922071393
20,15,TRUE,30.659125188537,2102.88000345885,0.42483660130719
100,1,FALSE,99.9748617395676,2.51382604323781,0.999748617395676
100,1,TRUE,99.9748617395676,2.51382604323781,0.999748617395676
100,2,FALSE,58.5243841126194,113.074713286667,0.999748617395676
100,2,TRUE,59.5027652086476,233.555561876466,0.999748617395676
100,3,FALSE,43.1126194067371,138.42633807035,0.999748617395676
100,3,TRUE,43.7687280040221,334.674686890545,0.999748617395676
100,4,FALSE,35.9205630970337,171.278073406753,0.999748617395676
100,4,TRUE,36.360231271996,396.751518377476,0.999245852187029
100,5,FALSE,32.8627450980392,218.005295153013,0.999497234791352
100,5,TRUE,32.3911513323278,444.478594047498,0.992207139265963
100,6,FALSE,32.0844645550528,286.352431458259,0.996732026143791
100,6,TRUE,30.7227249874309,511.97363984439,0.972599296128708
100,7,FALSE,32.7662141779789,380.973743823364,0.98667672197084
100,7,TRUE,30.4318753142283,621.279868798129,0.939165409753645
100,8,FALSE,34.8154851684263,514.610652781901,0.969834087481146
100,8,TRUE,30.6292106586224,740.393282806504,0.893665158371041
100,9,FALSE,38.3511814982403,709.5887350885,0.950226244343891
100,9,TRUE,31.860231271996,873.26635368048,0.852689793866264
100,10,FALSE,42.6287078934138,957.030576202808,0.93086978381096
100,10,TRUE,33.6837606837607,1044.49388255977,0.816742081447964
100,11,FALSE,47.6618903971845,1233.29550982756,0.910759175465058
100,11,TRUE,35.9590246354952,1235.56055343617,0.784313725490196
100,12,FALSE,53.2264957264957,1491.46063046277,0.897184514831574
100,12,TRUE,38.6799899446958,1463.64134453094,0.75867269984917
100,13,FALSE,59.1897938662645,1802.54053448101,0.881096028154852
100,13,TRUE,42.0379587732529,1729.59448534709,0.738813474107592
100,14,FALSE,65.3466566113625,2099.80511957078,0.870286576168929
100,14,TRUE,45.4751131221719,1985.87126884559,0.721719457013575
100,15,FALSE,71.7996480643539,2398.48511931287,0.863750628456511
100,15,TRUE,48.7742584213172,2232.84266634706,0.708144796380091
