"gen","bottleneck","n.pop0","gbar","gvar","zbar","zvar","wbar","wvar","n.trials"
1,FALSE,20,-0.00126232741617357,0.502778060821008,0.00349062398325994,0.743804752436325,0.83303762822909,0.192089475878773,2028
1,FALSE,100,0.00239546351084813,0.502176816866625,0.00061589292742726,0.750576044506778,0.832094720618376,0.194084625710832,2028
1,TRUE,20,0.0340976331360947,0.39603942339229,0.0354352214494358,0.652214849018598,0.844485068968245,0.176446514293615,2028
1,TRUE,100,0.0406518737672584,0.402484518277836,0.0394857472163237,0.651886477071202,0.846403000605629,0.175950585971154,2028
2,FALSE,20,0.14459178212523,0.486275421317475,0.142468776210472,0.740787298464442,0.904114581472139,0.20169570001063,2028
2,FALSE,100,0.1516069283436,0.483899323841326,0.151220451324469,0.733409323689996,0.908076129763801,0.200216280521827,2028
2,TRUE,20,0.179828413552421,0.393211057109104,0.180541932006144,0.647554171280458,0.919504533743703,0.183411950984608,2028
2,TRUE,100,0.191889204793218,0.394944912790222,0.190603719602015,0.64551779386473,0.924947626313497,0.183871554266428,2028
3,FALSE,20,0.295705561757174,0.507840505876398,0.294368720475809,0.761174419821493,0.983927794174792,0.213251763180419,2010
3,FALSE,100,0.291450002930088,0.480430289487113,0.292031462841975,0.726161404391534,0.981328536376468,0.206378489136501,2028
3,TRUE,20,0.332188543701556,0.390638566460529,0.332367757231255,0.642343152147394,1.00061801444189,0.189578091925501,1992
3,TRUE,100,0.332473167101795,0.388267628620883,0.332913121743039,0.638885664227921,1.00084520999377,0.188582859763235,2028
4,FALSE,20,0.462197292849226,0.515146548874822,0.463202663655634,0.763188418352792,1.07209984472505,0.218183569726011,1906
4,FALSE,100,0.426741853637801,0.485799610439001,0.425332691345122,0.737039266635852,1.05221040331458,0.212063837923305,2028
4,TRUE,20,0.47394952681388,0.398646251277422,0.472807242883052,0.647553880493812,1.07657146254614,0.194083850055515,1872
4,TRUE,100,0.465602026278297,0.380436095130273,0.465507467838071,0.631235695338761,1.0725196716639,0.190024827910653,2028
5,FALSE,20,0.62264280155642,0.513506712307045,0.620790422130718,0.761845377498658,1.15624085067984,0.218694375054734,1776
5,FALSE,100,0.556493564024352,0.480370225697104,0.553956379645666,0.733379311969177,1.12025482605947,0.212311097903777,2028
