"trial","gen","n","g","z","w","n.pop0","alpha","evolve","block","rep","design"
1,1,20,0.32,0.122077878858516,0.796338481647403,20,0,TRUE,1,1,2
1,2,23,0.269565217391304,0.155548879788685,0.816201718884552,20,0,TRUE,1,1,2
1,3,34,0.370588235294118,0.416512433267723,0.945770899766576,20,0,TRUE,1,1,2
1,4,35,0.337142857142857,0.215463760058792,0.848973648378628,20,0,TRUE,1,1,2
1,5,32,0.43125,0.417982237563417,0.967179410419101,20,0,TRUE,1,1,2
1,6,35,0.274285714285714,0.171939208250442,0.826564451751162,20,0,TRUE,1,1,2
1,7,18,0.422222222222222,0.429836403097838,0.949985517686287,20,0,TRUE,1,1,2
1,8,12,0.566666666666667,0.265984628988432,0.87037553622294,20,0,TRUE,1,1,2
1,9,6,0.4,-0.0865821506689544,0.695558630706824,20,0,TRUE,1,1,2
1,10,2,0.2,0.0872267575832933,0.727500608639751,20,0,TRUE,1,1,2
2,1,100,0.162,0.23806472114009,0.865146882481037,100,0,TRUE,1,1,2
2,2,62,0.187096774193548,0.174665689961209,0.838513857187603,100,0,TRUE,1,1,2
2,3,51,0.243137254901961,0.189445084924785,0.836917146408948,100,0,TRUE,1,1,2
2,4,43,0.176744186046512,0.18191331686686,0.847465447482614,100,0,TRUE,1,1,2
2,5,32,0.39375,0.18199104955288,0.839603295676532,100,0,TRUE,1,1,2
2,6,23,0.8,1.02421289052562,1.24805123596106,100,0,TRUE,1,1,2
2,7,21,0.838095238095238,1.0703593082708,1.30854937512346,100,0,TRUE,1,1,2
2,8,26,0.915384615384615,0.966426633345275,1.24474259108288,100,0,TRUE,1,1,2
2,9,26,1.02307692307692,0.83976404759872,1.17433046981452,100,0,TRUE,1,1,2
2,10,13,1.09230769230769,0.867582517116125,1.20074006009675,100,0,TRUE,1,1,2
2,11,26,1.04615384615385,1.20214656111758,1.39323031483765,100,0,TRUE,1,1,2
2,12,38,1.17894736842105,1.38240849507213,1.46472312381978,100,0,TRUE,1,1,2
2,13,69,1.15072463768116,1.15070316905344,1.36137754913348,100,0,TRUE,1,1,2
2,14,112,1.18928571428571,1.12609807611969,1.3330342150252,100,0,TRUE,1,1,2
2,15,167,1.20479041916168,1.27045047379359,1.41014493967456,100,0,TRUE,1,1,2
3,1,20,0.29,0.274321280108625,0.865531066024468,20,0.0035,TRUE,1,1,2
3,2,23,0.269565217391304,0.523870843049433,1.0137333725904,20,0.0035,TRUE,1,1,2
3,3,19,0.336842105263158,0.558139161651258,1.02621626910106,20,0.0035,TRUE,1,1,2
3,4,10,0.46,0.848035048807502,1.174967566251,20,0.0035,TRUE,1,1,2
3,5,19,0.442105263157895,0.578093178930485,1.0204316391197,20,0.0035,TRUE,1,1,2
3,6,15,0.453333333333333,0.713678085795659,1.1092686817606,20,0.0035,TRUE,1,1,2
3,7,18,0.577777777777778,0.605802856214595,1.0707574303006,20,0.0035,TRUE,1,1,2
3,8,22,0.554545454545455,0.694859144687318,1.10310138193468,20,0.0035,TRUE,1,1,2
