"trial","gen","n","g","z","w","n.pop0","alpha","evolve","sourcepop","block","rep","design"
1,1,20,0.32,0.187308940886671,0.827699088072898,20,0,TRUE,1,1,1,3
1,2,22,0.263636363636364,0.160870936627507,0.82184025987055,20,0,TRUE,1,1,1,3
1,3,19,0.431578947368421,0.504815431472201,0.995416228825071,20,0,TRUE,1,1,1,3
1,4,19,0.694736842105263,0.752986575471839,1.13800945086398,20,0,TRUE,1,1,1,3
1,5,34,0.629411764705882,0.594358381081913,1.05568676172282,20,0,TRUE,1,1,1,3
1,6,28,0.635714285714286,0.773081961699175,1.14638296744483,20,0,TRUE,1,1,1,3
1,7,23,0.591304347826087,0.452001692939889,0.98369237594156,20,0,TRUE,1,1,1,3
1,8,30,0.706666666666667,0.668954504550705,1.09160714689816,20,0,TRUE,1,1,1,3
1,9,21,0.714285714285714,0.469553626259853,0.99530213926675,20,0,TRUE,1,1,1,3
1,10,16,1.1375,1.15062783610269,1.34647740353048,20,0,TRUE,1,1,1,3
1,11,25,1.128,1.20404702786085,1.37892445566441,20,0,TRUE,1,1,1,3
1,12,25,1.064,0.742534291775382,1.12554370297198,20,0,TRUE,1,1,1,3
1,13,35,1.05714285714286,0.985814249574739,1.26697160385326,20,0,TRUE,1,1,1,3
1,14,30,1.16,1.16495959948101,1.36317122708303,20,0,TRUE,1,1,1,3
1,15,50,1.168,0.955704650746744,1.25547372080356,20,0,TRUE,1,1,1,3
2,1,100,0.162,0.141661631768867,0.808584679194933,100,0,TRUE,1,1,1,3
2,2,45,0.257777777777778,0.439317323538331,0.964725364691545,100,0,TRUE,1,1,1,3
2,3,61,0.350819672131148,0.512475620671211,1.00530109217467,100,0,TRUE,1,1,1,3
2,4,53,0.449056603773585,0.137524308668212,0.81165376189334,100,0,TRUE,1,1,1,3
2,5,46,0.456521739130435,0.449126207120486,0.963783971548877,100,0,TRUE,1,1,1,3
2,6,31,0.658064516129032,0.624597973918655,1.05689296702964,100,0,TRUE,1,1,1,3
2,7,29,0.648275862068965,0.596046019402889,1.06445499142254,100,0,TRUE,1,1,1,3
2,8,23,0.765217391304348,0.940980881429426,1.21554130622502,100,0,TRUE,1,1,1,3
2,9,27,0.933333333333333,1.12879337722788,1.35216840819693,100,0,TRUE,1,1,1,3
2,10,28,0.871428571428571,1.03003701033595,1.3039617296303,100,0,TRUE,1,1,1,3
2,11,62,0.893548387096774,0.998774191965817,1.26923554415686,100,0,TRUE,1,1,1,3
2,12,72,0.852777777777778,0.764351567635109,1.12342361185183,100,0,TRUE,1,1,1,3
2,13,90,0.791111111111111,0.785275644499971,1.15572921723402,100,0,TRUE,1,1,1,3
2,14,125,0.8112,0.789410784739783,1.15316090627075,100,0,TRUE,1,1,1,3
2,15,148,0.866216216216216,0.895225002038525,1.21396536426677,100,0,TRUE,1,1,1,3
3,1,20,0.16,0.150157416716219,0.809973343085866,20,0.0035,TRUE,2,1,1,3
3,2,14,0.257142857142857,-0.0326688164419887,0.747422055583223,20,0.0035,TRUE,2,1,1,3
3,3,11,0.145454545454545,0.113073845584431,0.788202924567071,20,0.0035,TRUE,2,1,1,3
3,4,12,0.166666666666667,0.211346714437898,0.838243231683454,20,0.0035,TRUE,2,1,1,3
3,5,6,-0.133333333333333,-0.029537621717828,0.752797417250005,20,0.0035,TRUE,2,1,1,3
3,6,5,-0.2,-0.330969507339023,0.593888011912579,20,0.0035,TRUE,2,1,1,3
3,7,1,0,-0.616421594658088,0.399677830552848,20,0.0035,TRUE,2,1,1,3
4,1,100,0.046,-0.0715536097253251,0.70277001570262,100,0.0035,TRUE,2,1,1,3
4,2,50,0.004,-0.189769095569735,0.674358078760232,100,0.0035,TRUE,2,1,1,3
